,,,"Hier wird aufgezeigt, wie viele Kills ein Pokémon an einem gewissen Spieltag gemacht hat"

Rang,Pokémon,Kills,1,2,3,4,5,6,7,8,9,10,11,12,13,Team,YouTube
104,Elfun,2,,1,,,,,,,,1,,,,Baltoy Story,https://www.youtube.com/user/Hydronic
104,Duraludon,2,,1,,1,,,,,,,,,,Crinchilla,https://www.youtube.com/user/CaptainCrinch
104,Keifel,2,1,,,,,1,,,,,,,,Elekid's Club,https://www.youtube.com/user/ElektechN9ne
104,Raichu,2,,,,1,,,,,1,,,,,Launching Dragapults,https://www.youtube.com/user/RegiBang
104,Deponitox,2,,,,1,,,,,,,,1,,Launching Dragapults,https://www.youtube.com/user/RegiBang
104,Togetic,2,,,,,,,,,,,,2,,Launching Dragapults,https://www.youtube.com/user/RegiBang
104,Blitza,2,,,,,,,,,,,2,,,Milchbubis,https://www.youtube.com/user/DauniDaunstar
104,Gladiantri,2,,,1,,,,,1,,,,,,Skywalking Zacians,https://www.youtube.com/user/SinOfSpeed
104,Moruda,2,,,,,,,1,1,,,,,,Skywalking Zacians,https://www.youtube.com/user/SinOfSpeed
104,Aquana,2,,,,,,,,,,1,,1,,Skywalking Zacians,https://www.youtube.com/user/SinOfSpeed
104,Guardevoir,2,,,,,,,2,,,,,,,Therapiepi,https://www.youtube.com/user/PokéBazi
116,Baldorfish,1,,1,,,,,,,,,,,,Baltoy Story,https://www.youtube.com/user/Hydronic
116,Grypheldis,1,,,,,1,,,,,,,,,Baltoy Story,https://www.youtube.com/user/Hydronic
116,Barschuft,1,,,,,,,,,,1,,,,Baltoy Story,https://www.youtube.com/user/Hydronic
116,Montecarbo,1,,,,,,,,,,,,1,,Crinchilla,https://www.youtube.com/user/CaptainCrinch
116,Stahlos,1,,,,,,,,,,1,,,,Flutschige Zäpfchen,https://www.youtube.com/user/Nestfloh
116,Galar-Gallopa,1,1,,,,,,,,,,,,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel
116,Lunastein,1,1,,,,,,,,,,,,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel
116,Mitodos,1,,,,,,1,,,,,,,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel
116,Arktilas,1,,,,,1,,,,,,,,,Launching Dragapults,https://www.youtube.com/user/RegiBang
116,Fuegro,1,,,,,,,,1,,,,,,Launching Dragapults,https://www.youtube.com/user/RegiBang
116,Psiaugon (männlich),1,,,,,,,,1,,,,,,Launching Dragapults,https://www.youtube.com/user/RegiBang
116,Pantimos,1,,1,,,,,,,,,,,,Milchbubis,https://www.youtube.com/user/DauniDaunstar
116,Pampross,1,1,,,,,,,,,,,,,Nose to Order,https://www.youtube.com/user/BlackLink
116,Gallopa,1,,,1,,,,,,,,,,,Nose to Order,https://www.youtube.com/user/BlackLink
116,Alpollo,1,,,,,,,,,,,,,1,Nose to Order,https://www.youtube.com/user/BlackLink
116,Xatu,1,,,,,,,,,,,1,,,Riffex Pontifex,https://www.youtube.com/user/FullLifeGames
116,Parfinesse,1,,,,,,1,,,,,,,,Soulstealer,https://www.youtube.com/user/Raizor
#N/A,Intelleon,0,,,,,,,,,,,,,,Aggron Berlin,https://www.youtube.com/user/TabascoTV
#N/A,Voltula,0,,,,,,,,,,,,,,Baltoy Story,https://www.youtube.com/user/Hydronic
#N/A,Sonnfel,0,,,,,,,,,,,,,,Baltoy Story,https://www.youtube.com/user/Hydronic
#N/A,Kommandutan,0,,,,,,,,,,,,,,Crinchilla,https://www.youtube.com/user/CaptainCrinch
#N/A,Flunkifer,0,,,,,,,,,,,,,,Elekid's Club,https://www.youtube.com/user/ElektechN9ne
#N/A,Drifzepeli,0,,,,,,,,,,,,,,Elekid's Club,https://www.youtube.com/user/ElektechN9ne
#N/A,Cottomi,0,,,,,,,,,,,,,,Flutschige Zäpfchen,https://www.youtube.com/user/Nestfloh
#N/A,Humanolith,0,,,,,,,,,,,,,,Flutschige Zäpfchen,https://www.youtube.com/user/Nestfloh
#N/A,Flunschlik,0,,,,,,,,,,,,,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel
#N/A,Nachtara,0,,,,,,,,,,,,,,Milchbubis,https://www.youtube.com/user/DauniDaunstar
#N/A,Typ:Null,0,,,,,,,,,,,,,,Milchbubis,https://www.youtube.com/user/DauniDaunstar
#N/A,Castellith,0,,,,,,,,,,,,,,Milchbubis,https://www.youtube.com/user/DauniDaunstar
