

Rang,Pokémon,Team,Kills,YouTube,,Stand: Spieltag 11
57,Florges,Absolutism,4,https://www.youtube.com/user/Asalakoren
57,Rotom-Heat,Grippebärchen,4,https://www.youtube.com/user/Hydronic
57,Impoleon,Majora's Maskeregen,4,https://www.youtube.com/user/BlackLink
57,Parfinesse,Majora's Maskeregen,4,https://www.youtube.com/user/BlackLink
57,Impergator,Nova Dragons,4,https://www.youtube.com/user/SinofSpeed
57,Zygarde-10%,Nova Dragons,4,https://www.youtube.com/user/SinofSpeed
57,Rizeros,Rising Delibirds,4,https://www.youtube.com/user/Scoutley
57,Sniebel,Schleudergang,4,https://www.youtube.com/user/Lauris
57,Mega-Scherox,Soulstealer,4,https://www.youtube.com/user/RaizorZockt
57,Tangela,Soulstealer,4,https://www.youtube.com/user/RaizorZockt
57,Clavion,Youngstars,4,https://www.youtube.com/user/BraveBird
57,Volcanion,Youngstars,4,https://www.youtube.com/user/BraveBird
69,Hundemon,Absolutism,3,https://www.youtube.com/user/Asalakoren
69,Rotom-Wash,Absolutism,3,https://www.youtube.com/user/Asalakoren
69,Somnivora,Grippebärchen,3,https://www.youtube.com/user/Hydronic
69,Boreos-Inkarnationsform,Mythical FighterZ,3,https://www.youtube.com/user/Parsifani
69,Kyurem,Prekani,3,https://www.youtube.com/user/PresentLP
69,Brutalanda,Schleudergang,3,https://www.youtube.com/user/Lauris
69,Mega-Diancie,Schleudergang,3,https://www.youtube.com/user/Lauris
69,Demeteros-Tiergeistform,Soulstealer,3,https://www.youtube.com/user/RaizorZockt
69,Tectass,Soulstealer,3,https://www.youtube.com/user/RaizorZockt
69,Stahlos,Triyolotree,3,https://www.youtube.com/user/Minetube
69,Togekiss,Triyolotree,3,https://www.youtube.com/user/Minetube
69,Rabigator,Youngstars,3,https://www.youtube.com/user/BraveBird
69,Vesprit,Youngstars,3,https://www.youtube.com/user/BraveBird
82,Alola-Raichu,Nova Dragons,2,https://www.youtube.com/user/SinofSpeed
82,Ambidiffel,Prekani,2,https://www.youtube.com/user/PresentLP
82,Viridium,Prekani,2,https://www.youtube.com/user/PresentLP
82,Kobalium,Rising Delibirds,2,https://www.youtube.com/user/Scoutley
82,Nachtara,Rising Delibirds,2,https://www.youtube.com/user/Scoutley
82,Fennexis,Schleudergang,2,https://www.youtube.com/user/Lauris
82,Suicune,Schleudergang,2,https://www.youtube.com/user/Lauris
82,Alola-Sleimok,Soulstealer,2,https://www.youtube.com/user/RaizorZockt
82,Aeropteryx,Triyolotree,2,https://www.youtube.com/user/Minetube
82,Mega-Turtok,Triyolotree,2,https://www.youtube.com/user/Minetube
92,Aerodactyl,Absolutism,1,https://www.youtube.com/user/Asalakoren
92,Elezard,Absolutism,1,https://www.youtube.com/user/Asalakoren
92,Flunschlik,Mythical FighterZ,1,https://www.youtube.com/user/Parsifani
92,Moruda,Mythical FighterZ,1,https://www.youtube.com/user/Parsifani
92,Pixi,Mythical FighterZ,1,https://www.youtube.com/user/Parsifani
92,Simsala,Mythical FighterZ,1,https://www.youtube.com/user/Parsifani
92,Ditto,Nova Dragons,1,https://www.youtube.com/user/SinofSpeed
92,Selfe,Nova Dragons,1,https://www.youtube.com/user/SinofSpeed
92,Milotic,Pokebassis,1,https://www.youtube.com/user/PokéBazi
92,Miltank,Pokebassis,1,https://www.youtube.com/user/PokéBazi
92,Piepi,Prekani,1,https://www.youtube.com/user/PresentLP
92,Skorgro,Prekani,1,https://www.youtube.com/user/PresentLP
92,Skuntank,Prekani,1,https://www.youtube.com/user/PresentLP
92,Forstellka,Rising Delibirds,1,https://www.youtube.com/user/Scoutley
92,Togedemaru,Schleudergang,1,https://www.youtube.com/user/Lauris
92,Fuegro,Triyolotree,1,https://www.youtube.com/user/Minetube
92,Lanturn,Youngstars,1,https://www.youtube.com/user/BraveBird
109,Deponitox,Absolutism,0,https://www.youtube.com/user/Asalakoren
109,Serpiroyal,Absolutism,0,https://www.youtube.com/user/Asalakoren
109,Skorgla,Absolutism,0,https://www.youtube.com/user/Asalakoren
109,Apoquallyp,Grippebärchen,0,https://www.youtube.com/user/Hydronic
109,Fruyal,Grippebärchen,0,https://www.youtube.com/user/Hydronic
109,Grypheldis,Grippebärchen,0,https://www.youtube.com/user/Hydronic
109,Pampross,Grippebärchen,0,https://www.youtube.com/user/Hydronic
109,Amigento-Normal,Majora's Maskeregen,0,https://www.youtube.com/user/BlackLink
109,Silvarro,Majora's Maskeregen,0,https://www.youtube.com/user/BlackLink
109,Aquana,Mythical FighterZ,0,https://www.youtube.com/user/Parsifani
109,Koalelu,Mythical FighterZ,0,https://www.youtube.com/user/Parsifani
109,Colossand,Nova Dragons,0,https://www.youtube.com/user/SinofSpeed
109,Galagladi,Pokebassis,0,https://www.youtube.com/user/PokéBazi
109,Lavados,Pokebassis,0,https://www.youtube.com/user/PokéBazi
109,Rotom,Pokebassis,0,https://www.youtube.com/user/PokéBazi
109,Chillabell,Rising Delibirds,0,https://www.youtube.com/user/Scoutley
109,Dragoran,Rising Delibirds,0,https://www.youtube.com/user/Scoutley
109,Frosdedje,Rising Delibirds,0,https://www.youtube.com/user/Scoutley
109,Voltula,Rising Delibirds,0,https://www.youtube.com/user/Scoutley
109,Laschoking,Soulstealer,0,https://www.youtube.com/user/RaizorZockt
