season_id,division,roster_phase,team_name,team_name_normalized,person_name,person_name_normalized,pokemon,pokemon_normalized,slot,source_table,source_file,source_urls,data_status,notes
season_010,Regular Season,regular,Cyber End Jugulis,cyber end jugulis,KingBlex,king blex,Eisenhals,eisenhals,4,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Cyber End Jugulis,cyber end jugulis,KingBlex,king blex,Hisui-Arkani,hisui arkani,5,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Cyber End Jugulis,cyber end jugulis,KingBlex,king blex,Tentoxa,tentoxa,6,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Cyber End Jugulis,cyber end jugulis,KingBlex,king blex,Porygon-Z,porygon z,7,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Cyber End Jugulis,cyber end jugulis,KingBlex,king blex,Mimigma,mimigma,8,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Cyber End Jugulis,cyber end jugulis,KingBlex,king blex,Pokusan,pokusan,9,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Cyber End Jugulis,cyber end jugulis,KingBlex,king blex,Fruyal,fruyal,10,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Cyber End Jugulis,cyber end jugulis,KingBlex,king blex,Britzigel,britzigel,11,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Throes Mad,throes mad,Minetube,minetube,Mew,mew,1,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
season_010,Regular Season,regular,Throes Mad,throes mad,Minetube,minetube,Maskagato,maskagato,2,Kader,data/raw/season_010/sheets/13smsrg2bgyxr_omjwcgr_sudr39bvojpnl5rpt4dsow_kader_1465731937.csv,https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937,sheet_extracted,Hauptrundenkader aus Kader-Sheet
