season_id,person_id,person_name,person_name_normalized,team_id,team_name,team_name_normalized,division,channel_url,aliases,data_status,source_urls
season_003,person_shiro,Shiro,shiro,season_003_munich_magbys_2,Munich Magbys*²,munich magbys 2,Liga 1,https://www.youtube.com/user/NeverUsedShiro,,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_parsifani,Parsifani,parsifani,season_003_persian_carpets,Persian Carpets,persian carpets,Liga 1,https://www.youtube.com/user/Parsifani,,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_surskittv,SurskitTV,surskittv,season_003_surstars,Surstars,surstars,Liga 1,https://www.youtube.com/user/SurskitTV,,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_lightgaming,LightGaming,lightgaming,season_003_departed_fairies,Departed Fairies,departed fairies,Liga 2,https://www.youtube.com/user/LightGaming,,sheet_extracted,https://docs.google.com/spreadsheets/d/1_UuLy0LRQbXfL31crTDpStLx_CzYOo8-baJKZIywl9Q/edit#gid=832761930
season_003,person_crowdcontroller,CrowdController,crowdcontroller,season_003_joltik_justice_2,Joltik Justice*²,joltik justice 2,Liga 2,https://www.youtube.com/user/CrowdController,,sheet_extracted,https://docs.google.com/spreadsheets/d/1_UuLy0LRQbXfL31crTDpStLx_CzYOo8-baJKZIywl9Q/edit#gid=832761930
season_003,person_melevies,MeLevies,melevies,season_003_shocking_shaymins,Shocking Shaymins,shocking shaymins,Liga 2,https://www.youtube.com/user/MeLevies,,sheet_extracted,https://docs.google.com/spreadsheets/d/1_UuLy0LRQbXfL31crTDpStLx_CzYOo8-baJKZIywl9Q/edit#gid=832761930
season_003,person_leinux,Leinux,leinux,season_003_arminia_bisharps,Arminia Bisharps,arminia bisharps,Liga 2,https://www.youtube.com/user/Leinux,,sheet_extracted,https://docs.google.com/spreadsheets/d/1_UuLy0LRQbXfL31crTDpStLx_CzYOo8-baJKZIywl9Q/edit#gid=832761930
season_003,person_fnupa,Cabgolord,fnupa,season_003_returning_lords,Returning Lords,returning lords,Liga 2,https://www.youtube.com/user/Cabgolord,,sheet_extracted,https://docs.google.com/spreadsheets/d/1_UuLy0LRQbXfL31crTDpStLx_CzYOo8-baJKZIywl9Q/edit#gid=832761930
season_003,person_scarlet,Scarlet,scarlet,season_003_espionage_espeons_3,Espionage Espeons*³,espionage espeons 3,Liga 2,https://www.youtube.com/user/ScarletSFT,,sheet_extracted,https://docs.google.com/spreadsheets/d/1_UuLy0LRQbXfL31crTDpStLx_CzYOo8-baJKZIywl9Q/edit#gid=832761930
season_003,person_pokeknight,PokéKnight,pokeknight,season_003_power_knilz_bande_6,Power-Knilz-Bande*⁶,power knilz bande 6,Liga 2,https://www.youtube.com/user/PokéKnight,,sheet_extracted,https://docs.google.com/spreadsheets/d/1_UuLy0LRQbXfL31crTDpStLx_CzYOo8-baJKZIywl9Q/edit#gid=832761930
season_003,person_blacklink,BlackLink,blacklink,season_003_togekiss_peacemaker_5,Togekiss Peacemaker*⁵,togekiss peacemaker 5,Liga 2,https://www.youtube.com/user/BlackLink1996,,sheet_extracted,https://docs.google.com/spreadsheets/d/1_UuLy0LRQbXfL31crTDpStLx_CzYOo8-baJKZIywl9Q/edit#gid=832761930
season_003,person_pyromanix,Pyromanix,pyromanix,season_003_tornupto_brotherhood_4,Tornupto Brotherhood*⁴,tornupto brotherhood 4,Liga 2,https://www.youtube.com/user/Pyromanix,,sheet_extracted,https://docs.google.com/spreadsheets/d/1_UuLy0LRQbXfL31crTDpStLx_CzYOo8-baJKZIywl9Q/edit#gid=832761930
season_003,person_burakio,Burakio,burakio,season_003_hurricaneheracross_1,HurricaneHeracross*¹,hurricaneheracross 1,Liga 2,https://www.youtube.com/user/Burakio,,sheet_extracted,https://docs.google.com/spreadsheets/d/1_UuLy0LRQbXfL31crTDpStLx_CzYOo8-baJKZIywl9Q/edit#gid=832761930
season_003,person_professor_n,Professor N,professor n,season_003_shining_diancies,Shining Diancies,shining diancies,Liga 2,https://www.youtube.com/user/ProfessorN,,sheet_extracted,https://docs.google.com/spreadsheets/d/1_UuLy0LRQbXfL31crTDpStLx_CzYOo8-baJKZIywl9Q/edit#gid=832761930
season_003,person_bravebird,BraveBird,bravebird,season_003_young_stars,Young Stars,young stars,Liga 2,https://www.youtube.com/user/BraveBirdGames,,sheet_extracted,https://docs.google.com/spreadsheets/d/1_UuLy0LRQbXfL31crTDpStLx_CzYOo8-baJKZIywl9Q/edit#gid=832761930
season_003,person_pokebree,PokéBree,pokebree,season_003_undead_scrafty,Undead Scrafty,undead scrafty,Liga 2,https://www.youtube.com/user/PokéBree,,sheet_extracted,https://docs.google.com/spreadsheets/d/1_UuLy0LRQbXfL31crTDpStLx_CzYOo8-baJKZIywl9Q/edit#gid=832761930
season_003,person_themiifii,TheMiiFii,themiifii,season_003_dreaded_dittos,Dreaded Dittos,dreaded dittos,Liga 2,https://www.youtube.com/user/TheMiiFii,,sheet_extracted,https://docs.google.com/spreadsheets/d/1_UuLy0LRQbXfL31crTDpStLx_CzYOo8-baJKZIywl9Q/edit#gid=832761930
season_003,person_lucariolp,LucarioLP,lucariolp,season_003_unlimited_blade_works_1,Unlimited Blade Works*¹,unlimited blade works 1,Liga 1,,,user_provided,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0;https://docs.google.com/spreadsheets/d/15MPuuKWiOBeqO8JbrOYulUHFDzWbid6_pYZLHiWVzrk/edit#gid=0
season_003,person_daumenkino,DaumenkinoLP,daumenkino,,,,Liga 1,https://www.youtube.com/c/DaumenkinoLP,,participant_list_only,https://docs.google.com/spreadsheets/d/1kXhNwKGrqQTwSal0NxpZ9h0yo6u_mQwhwg4vGVwxMX4/edit#gid=0
