season_id,person_id,person_name,person_name_normalized,team_id,team_name,team_name_normalized,division,stage,rank,start_week,end_week,matches,wins,losses,draws,points,kills,deaths,differential,data_status,notes,source_urls
season_002,person_zant,Zant,zant,season_002_typhlosion_burning_squad,Typhlosion burning Squad,typhlosion burning squad,Liga 2,full_season,14,,,26,3,23,0,6,69,150,-81,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_003,person_present,PresentLP,present,season_003_prekani,Prekani,prekani,Regular Season,full_season,1,,,26,19,7,0,57,145,104,41,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_regibang,RegiBang,regibang,season_003_glorious_emperors,Glorious Emperors,glorious emperors,Regular Season,full_season,2,,,26,16,10,0,48,122,110,12,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_fanmadeletsplay,FanmadeLetsPlay,fanmadeletsplay,season_003_coldlauncher,Coldlauncher,coldlauncher,Regular Season,full_season,3,,,26,15,11,0,45,120,114,6,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_minetube,Minetube,minetube,season_003_triyolotree,Triyolotree,triyolotree,Regular Season,full_season,4,,,26,14,12,0,42,124,110,14,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_captaincrinch,CaptainCrinch,captaincrinch,season_003_crinchilla,Crinchilla,crinchilla,Regular Season,full_season,6,,,26,13,13,0,39,125,123,2,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_pokebazi,PokeBazi,pokebazi,season_003_krebuknackis,Krebuknackis,krebuknackis,Regular Season,full_season,7,,,26,13,13,0,39,119,125,-6,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_lauris,Lauris,lauris,season_003_enteigeddon_3_1,Enteigeddon*³ **¹,enteigeddon 3 1,Regular Season,full_season,8,,,26,13,13,0,38,119,125,-6,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_raizor,Raizor,raizor,season_003_unbound_zoroarks,Unbound Zoroarks,unbound zoroarks,Regular Season,full_season,9,,,26,12,14,0,36,110,120,-10,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_oktopaul,Oktopaul,oktopaul,season_003_petalburg_panchams,Petalburg Panchams,petalburg panchams,Regular Season,full_season,10,,,26,12,14,0,36,118,130,-12,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_art_n_gaming,Art'n'Gaming,art n gaming,season_003_little_littleos,Little Littleos,little littleos,Regular Season,full_season,11,,,26,11,15,0,33,120,125,-5,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_shiro,Shiro,shiro,season_003_munich_magbys_2,Munich Magbys*²,munich magbys 2,Regular Season,full_season,12,,,26,11,15,0,33,112,133,-21,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_parsifani,Parsifani,parsifani,season_003_persian_carpets,Persian Carpets,persian carpets,Regular Season,full_season,13,,,26,10,16,0,30,118,125,-7,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_surskittv,SurskitTV,surskittv,season_003_surstars,Surstars,surstars,Regular Season,full_season,14,,,26,10,16,0,30,115,127,-13,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_lucariolp,LucarioLP,lucariolp,season_003_unlimited_blade_works_1,Unlimited Blade Works*¹,unlimited blade works 1,Regular Season,controller_stint,5,1,10,10,3,7,0,9,,,,user_provided,User-provided controller correction: LucarioLP led the team before Bene joined at Spieltag 11.,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0;https://docs.google.com/spreadsheets/d/15MPuuKWiOBeqO8JbrOYulUHFDzWbid6_pYZLHiWVzrk/edit#gid=0
season_003,person_bene,Bene,bene,season_003_unlimited_blade_works_1,Unlimited Blade Works*¹,unlimited blade works 1,Regular Season,controller_stint,5,11,26,16,10,6,0,30,,,,user_provided,User-provided controller correction plus table footnote: Bene led the team from Spieltag 11 onward.,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0;https://docs.google.com/spreadsheets/d/15MPuuKWiOBeqO8JbrOYulUHFDzWbid6_pYZLHiWVzrk/edit#gid=0
season_004,person_bene,Bene,bene,season_004_ritter_der_tapukokosnuss,Ritter der Tapukokosnuss,ritter der tapukokosnuss,Regular Season,full_season,1,,,22,19,3,0,57,127,63,64,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1rZd3D0JRNj3lK0ZKdMXPLvCNBofRhFsvW0AlPuBk3VE/edit#gid=0
season_004,person_present,PresentLP,present,season_004_prekani,Prekani,prekani,Regular Season,full_season,2,,,22,16,6,0,48,113,81,32,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1rZd3D0JRNj3lK0ZKdMXPLvCNBofRhFsvW0AlPuBk3VE/edit#gid=0
season_004,person_minetube,Minetube,minetube,season_004_triyolotree,Triyolotree,triyolotree,Regular Season,full_season,3,,,22,12,9,1,37,102,97,5,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1rZd3D0JRNj3lK0ZKdMXPLvCNBofRhFsvW0AlPuBk3VE/edit#gid=0
season_004,person_regibang,RegiBang,regibang,season_004_flexing_masskito,Flexing Masskito,flexing masskito,Regular Season,full_season,4,,,22,12,10,0,36,104,93,11,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1rZd3D0JRNj3lK0ZKdMXPLvCNBofRhFsvW0AlPuBk3VE/edit#gid=0
season_004,person_lauris,Lauris,lauris,season_004_enteikutierung,Enteikutierung,enteikutierung,Regular Season,full_season,5,,,22,11,11,0,33,98,95,3,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1rZd3D0JRNj3lK0ZKdMXPLvCNBofRhFsvW0AlPuBk3VE/edit#gid=0
season_004,person_melevies,MeLevies,melevies,season_004_shocking_shaymins,Shocking Shaymins,shocking shaymins,Regular Season,full_season,6,,,22,10,11,1,31,106,102,4,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1rZd3D0JRNj3lK0ZKdMXPLvCNBofRhFsvW0AlPuBk3VE/edit#gid=0
season_004,person_fnupa,Cabgolord,fnupa,season_004_slicing_knights,Slicing Knights,slicing knights,Regular Season,full_season,7,,,22,10,12,0,30,91,104,-13,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1rZd3D0JRNj3lK0ZKdMXPLvCNBofRhFsvW0AlPuBk3VE/edit#gid=0
season_004,person_surskittv,SurskitTV,surskittv,season_004_surstars,Surstars,surstars,Regular Season,full_season,8,,,22,9,12,1,28,89,101,-12,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1rZd3D0JRNj3lK0ZKdMXPLvCNBofRhFsvW0AlPuBk3VE/edit#gid=0
season_004,person_captaincrinch,CaptainCrinch,captaincrinch,season_004_suicide_squad,Suicide Squad,suicide squad,Regular Season,full_season,9,,,22,9,13,0,27,90,102,-12,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1rZd3D0JRNj3lK0ZKdMXPLvCNBofRhFsvW0AlPuBk3VE/edit#gid=0
