season_id,division,stage,is_primary,rank,person_id,player_name,player_name_normalized,team_id,team_name,wins,losses,draws,points,kills,deaths,differential,data_status,source_urls
season_002,Liga 2,final_table,true,3,person_lucariolp,LucarioLP,lucariolp,season_002_wildcats,Wildcats,18,8,0,54,134,90,44,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,Liga 2,final_table,true,4,person_minetube,Minetube,minetube,season_002_triyolotree,Triyolotree,17,9,0,51,121,97,24,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,Liga 2,final_table,true,5,person_captaincrinch,CaptainCrinch,captaincrinch,season_002_crinchilla,Crinchilla,16,10,0,48,130,92,38,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,Liga 2,final_table,true,6,person_raikani,Raikani,raikani,season_002_bulettenbande,Bulettenbande,16,10,0,48,126,106,20,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,Liga 2,final_table,true,7,person_letskayze,LetsKayze,letskayze,season_002_infernayze,Infernayze,14,12,0,42,115,101,14,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,Liga 2,final_table,true,8,person_domibri,Domibri,domibri,season_002_sunny_reptiles_2,Sunny Reptiles*²,14,11,1,37,126,95,31,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,Liga 2,final_table,true,9,person_lightgaming,LightGaming,lightgaming,season_002_salty_gengars,Salty Gengars,11,15,0,33,108,122,-14,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,Liga 2,final_table,true,10,person_pokebree,PokéBree,pokebree,season_002_absocore,Absocore,10,16,0,30,90,116,-26,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,Liga 2,final_table,true,11,person_shizumania,Shizumania,shizumania,season_002_buzzingmaniacs_3,Buzzingmaniacs*³,9,17,0,27,105,129,-24,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,Liga 2,final_table,true,12,person_pentaplayer,PentaPlayer,pentaplayer,season_002_power_knilz_bande,Power Knilz Bande,9,17,0,21,86,129,-43,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
