Zant017 [0 - 3] K-O-H ,,FreeCale [3 - 0] Zant017   ,, Zant017 [1 - 0] WolvX,,Raikani  [1 - 0] Zant017
  PentaPlayer [0 - 6] Parsifani     ,,LucarioLP [5 - 0] LetsKayze ,,PentaPlayer [4 - 0] Parsifani  ,,LucarioLP [4 - 0] LetsKayze
LightGaming [0 - 2] PokeBazi  ,,             CaptainCrinch [0 - 2] PokeBree  nach DC      ,,LightGaming [0 - 3] PokeBazi ,,CaptainCrinch [0 - 4] PokeBree       
      Minetube [0 - 5] Glebber-San,,Glebber-San [5 - 0] Philipp1337   ,, Minetube [0 - 5] Domibri,,      Domibri [3 - 0] Shizumania
    PokeBree [0 - 5] Philipp1337,,Minetube13 [4 - 0] LightGaming,,       PokeBree [0 - 4] Shizumania ,,    Minetube13 [2 - 0] LightGaming  
CaptainCrinch [6 - 0] LucarioLP   ,,Parsifani [0 - 0] PokeBazi,,CaptainCrinch [3 - 0] LucarioLP  ,,                    PentaPlayer [0 - 6] WolvX   nach Regelbruch
     FreeCale [5 - 0] LetsKayze,,PentaPlayer [0 - 3] K-O-H          ,,         Raikani [3 - 0] LetsKayze,,  Parsifani [1 - 0] PokeBazi

7. Spieltag - Mittwoch der 29.04.2015 [12:00 -18:00],,Hinrunde,,20. Spieltag - Mittwoch der 05.08.2015 [12:00 -18:00]

PentaPlayer [3 - 0] Zant017    ,,Rückrunde,,PentaPlayer [4 - 0] Zant017 
  PokeBazi [3 - 0] K-O-H     ,,,,PokeBazi [3 - 0] WolvX
      Parsifani [4 - 0] Minetube13,,Philipp1337 = SpeedEevee,,        Parsifani [3 - 0] Minetube13
   Philipp1337 [0 - 4] LightGaming,,FreeCale = Raikani,,      Shizumania [0 - 2] LightGaming
     Glebber-San [6 - 0] CaptainCrinch,,K-O-H = WolvX,,              Domibri [0 - 6] CaptainCrinch
LetsKayze [0 - 3] PokeBree,,,,    LetsKayze [6 - 0] PokeBree
LucarioLP [5 - 0] FreeCale,,,,                   LucarioLP [4 - 0] Raikani  nach DC   
