sheet_id,status,workbook_title,source_url,seen_in_channels,sample_video_title,review_reason
1Ox3SwLFTP0ZfOj-O-1ijn8Im8kU0QnjNyi3AJ6a5feM,available,Data Comparative Gen 9 Paldea by RoiDadadou,https://docs.google.com/spreadsheets/d/1Ox3SwLFTP0ZfOj-O-1ijn8Im8kU0QnjNyi3AJ6a5feM/edit,ucvciqcejxirj1kgswdxgqyw,WIE FALSCH WAR ICH? - Alle NEUEN GEN 9 Pokémon Kompetitiv Bewertet!,sheet_url_in_video_description_never_fetched
1ZPagND3tr3QX7tg87snMsrjuVKvCvZ7YM0vfpZKqSnc,available,Elekid's Club League (der offiziellig),https://docs.google.com/spreadsheets/d/1ZPagND3tr3QX7tg87snMsrjuVKvCvZ7YM0vfpZKqSnc/edit,ucarerejf2zazibztti4vmaw;ucvciqcejxirj1kgswdxgqyw,"""JIRACHI der STARPLAYER!"" - Elekid's Club League [Alpha] Spieltag 6 vs.  SeboxGaming",sheet_url_in_video_description_never_fetched
1-aSjnliSCjCuuxvaKgFjOIyNv9iSbhu5RwOfymtH8_0,available,Galarian Uprising League Showdown Season 4,https://docs.google.com/spreadsheets/d/1-aSjnliSCjCuuxvaKgFjOIyNv9iSbhu5RwOfymtH8_0/edit,uc88v_x5lbes2qhlwkfjqaeg,Kraft verloren? Playoffs noch in Reichweite? Week 8 & 9 der Central City Luchas,sheet_url_in_video_description_never_fetched
10nh23INQiGJUpH_vVIMzo5lhoQtFdTlhUuji8Mc0jlg,available,GBB [S1] - Offizielles Dokument									 										,https://docs.google.com/spreadsheets/d/10nh23INQiGJUpH_vVIMzo5lhoQtFdTlhUuji8Mc0jlg/edit,uc0tnejt5pvgm2_dm_pxj21w;uc88v_x5lbes2qhlwkfjqaeg;uc9iby6z6tyu7xyc5_cgjplg;ucarerejf2zazibztti4vmaw;ucdlntuh7cgkz5dyhnsy1yvw;ucgjopll_4nritmusnmk_9zg;uck_kzvbuhgprgwu1vw5y3zg;uckeehak_dpei11ykalqczrq;ucshfh4ogh23gfshxfifvcja;ucubgus9lvyrtb849adla1rw;ucvciqcejxirj1kgswdxgqyw;ucwpw7yn2wcg1sek_09viuhg;ucxw9kufbp4az1uppsfgtolw,Endgegner: Stufen - Galarian Battle Brawl Halbfinale vs. Marvelous Manectrics,sheet_url_in_video_description_never_fetched
1N7BL-n14iWeDFwABuUGtD2aXZkz_UtKeOI6sPpUnyeA,available,GBDL S5 Espinodon League,https://docs.google.com/spreadsheets/d/1N7BL-n14iWeDFwABuUGtD2aXZkz_UtKeOI6sPpUnyeA/edit,ucdgmk4tcz2k7kftc2c6gzeg,ALLES ODER NICHTS?! Mein Draftliga-Finale! | GBDL Spieltag 9,sheet_url_in_video_description_never_fetched
10ntVXq85hz4DkzYxy3JcZVBl3JOBfd6k0or5UdagBjQ,available,GBSL Enton,https://docs.google.com/spreadsheets/d/10ntVXq85hz4DkzYxy3JcZVBl3JOBfd6k0or5UdagBjQ/edit,ucdgmk4tcz2k7kftc2c6gzeg,Dieses Vesprit kann alle schlagen! | GBSL Spieltag 8,sheet_url_in_video_description_never_fetched
15d8yzC0FNAM5cf9JXlLP1t-RObP2PmbgS9dc_TVv7HM,available,GPC,https://docs.google.com/spreadsheets/d/15d8yzC0FNAM5cf9JXlLP1t-RObP2PmbgS9dc_TVv7HM/edit,uc0tnejt5pvgm2_dm_pxj21w;ucvciqcejxirj1kgswdxgqyw,WELCHER ist der BESSERE BÄR? - GPC [Spieltag 11] vs. @galfano32,sheet_url_in_video_description_never_fetched
1Oz7lpfSisJ89b8M3rlpAxt4W4aJAr7itWUOkBZZs3aw,available,GPL S6 Planung,https://docs.google.com/spreadsheets/d/1Oz7lpfSisJ89b8M3rlpAxt4W4aJAr7itWUOkBZZs3aw/edit,ucvciqcejxirj1kgswdxgqyw,GPL [S6] - KleinSteins;Gate - Mein Team!,sheet_url_in_video_description_never_fetched
1w4CrYbWDLJXiZXSnDkAOA4QeSj-nj4wz0UkFa4cCcyI,available,GPL Tippspiel Liga 1 Tabelle,https://docs.google.com/spreadsheets/d/1w4CrYbWDLJXiZXSnDkAOA4QeSj-nj4wz0UkFa4cCcyI/edit,ucshfh4ogh23gfshxfifvcja,Tippspiel Liga 1 | Update #2 | Informationen zur Tabelle,sheet_url_in_video_description_never_fetched
1WgnVZdWWh9n8p06ioZQY9DjiA61yKfjpX_NNznOJE5U,available,"Hydronics Community Liga -  [S1, L1]",https://docs.google.com/spreadsheets/d/1WgnVZdWWh9n8p06ioZQY9DjiA61yKfjpX_NNznOJE5U/edit,uckgdtvvwnwu2medumv1v4pq,Macht mit! - Hydronics Community Liga [HCL]: Ankündigung!,sheet_url_in_video_description_never_fetched
1_2gn8eEIW3d7TycdBAZN1iyGxJrWmPQgTIIFtFwIXCY,available,IDPL S3,https://docs.google.com/spreadsheets/d/1_2gn8eEIW3d7TycdBAZN1iyGxJrWmPQgTIIFtFwIXCY/edit,uc48cbia653yo2bhiowagjwq;uc88v_x5lbes2qhlwkfjqaeg;uc9iby6z6tyu7xyc5_cgjplg;ucj8y8nmqyyvuw8wooibgp0g;ucubgus9lvyrtb849adla1rw;ucvciqcejxirj1kgswdxgqyw;ucxw9kufbp4az1uppsfgtolw;ucz2bgm4qej7nxsedsnr6f1a,Noch ein letztes Mal! - [IDPL (S3) Spieltag 17 vs VerfolgungLP],sheet_url_in_video_description_never_fetched
1prGoJgv6C0vZg4WpxLhqI_8ECGtnc8AXosZsdlTFN8k,available,IDPL S4 ,https://docs.google.com/spreadsheets/d/1prGoJgv6C0vZg4WpxLhqI_8ECGtnc8AXosZsdlTFN8k/edit,uc48cbia653yo2bhiowagjwq;uc88v_x5lbes2qhlwkfjqaeg;uc9iby6z6tyu7xyc5_cgjplg;ucj8y8nmqyyvuw8wooibgp0g;ucubgus9lvyrtb849adla1rw;ucwpw7yn2wcg1sek_09viuhg;ucxj5whew7vz8zr_srmt8q2a;ucxw9kufbp4az1uppsfgtolw;ucz2bgm4qej7nxsedsnr6f1a,IDPL (S4) Playoffs vs Blue Saiyagrens - Ist Platz 3 noch drin?,sheet_url_in_video_description_never_fetched
1tHI7prUTuIvchB79mjqWKQp6WOdvQDbPvGW44ANqKiM,available,IDPL S5 Tierlist,https://docs.google.com/spreadsheets/d/1tHI7prUTuIvchB79mjqWKQp6WOdvQDbPvGW44ANqKiM/edit,uc9iby6z6tyu7xyc5_cgjplg;ucarerejf2zazibztti4vmaw;ucj8y8nmqyyvuw8wooibgp0g;ucubgus9lvyrtb849adla1rw;ucxw9kufbp4az1uppsfgtolw,IDPL [S5] - Spieltag 12 vs Kaskadenflincher: Das Ende der USUM Ligen,sheet_url_in_video_description_never_fetched
