


,,,,,Akatsuki Amphibianz,,,,,,,,,,,,,,,Wins:   6,,,,,,,,Soulblaze,,,,,,,,,,,,,,,Wins:   6
,,,,,Minetube,,,,,,,,,,,,,,,,,,,,,,,Raizor
,,,,,,,,,,,,,,,,,,,,gesamte Matches,,14,,,,,,,,,,,,,,,,,,,,,gesamte Matches,,14
,,,,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 8,,,,,,,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 8
,,,,,,W,L,W,L,W,L,L,W,W,L,L,L,L,W,,,,,,,,,,L,L,L,W,W,L,W,L,W,W,L,L,L,W
,Platz 8,,,,Kills am Spieltag,,,,,,,,,,,,,,,Matches,Kills,K/M,,Platz 5,,,,Kills am Spieltag,,,,,,,,,,,,,,,Matches,Kills,K/M
,Tier,Pokémon,Icon,Speed,,,,,,,,,,,,,,,,,,,,Tier,Pokémon,Icon,Speed
,B,Milotic,,81,,1,0,2,1,0,,0,3,1,,2,,0,1,11,11,"1,00",,B,Iksbat,,130,,1,2,0,0,2,0,0,0,1,1,,0,1,2,13,10,"0,77"
,B,Riffex-Hoch,,75,,,,,,,,,,,,,2,,,1,2,"2,00",,B,Selfe,,95,,,,,,,,,,0,,1,,,0,3,1,"0,33"
,B,Piepi,,35,,0,,,0,0,0,0,0,0,,2,,0,0,10,2,"0,20",,B,Curelei,,100,,1,,,,,0,0,3,,0,2,,0,,7,6,"0,86"
,C,Piondragi,,95,,,,,,0,,3,,,,1,0,,,4,4,"1,00",,C,Zobiris,,50,,0,0,,2,,,,,,,0,0,0,,6,2,"0,33"
,C,Togedemaru,,96,,1,1,1,,0,1,1,1,1,0,,0,0,0,12,7,"0,58",,C,Skuntank,,84,,,,,,,,,,,,,,0,,1,0,"0,00"
, D ,Somnivora,,29,,,,,,,,,,0,0,,,5,,3,5,"1,67",, D ,Sniebel,,115,,,,,,,,,0,0,0,0,0,,,5,0,"0,00"
,Out,Kaguron,,61,,1,2,,0,,,0,,,,,,,,4,3,"0,75",,Out,Tandrak,,44,,,1,,2,,1,,,,,,,,,3,4,"1,33"
,Out,Kabutops,,80,,,,,,,0,,,,,,,,,1,0,"0,00",,Out,Kangama,,90,,,,0,,0,,0,,,,,,,,3,0,"0,00"
,Out,Zytomega,,30,,,0,0,,,2,,,,,,,,,3,2,"0,67",,Out,Morbitesse,,65,,,,,,1,,,,,,,,,,1,1,"1,00"
,Out,Porygon-Z,,90,,,,,,,,2,,,,,,,,1,2,"2,00",,Out,Mamutel,,80,,2,,0,0,,,2,,,,,,,,4,4,"1,00"
