,Hinrunde: Spieltag 1-7,,Hinrunde: Spieltag 8-13,,Rückrunde: Spieltag 14-20,,Rückrunde: Spieltag 21-26

,                WolvX [0 - 5] Light Gaming,,             Shizumania [0 - 2] BraveBirdGames,,                      Burakio [2 - 0] Light Gaming,,                    Blacklink [? - ?] BraveBirdGames
,                Leinux [3 - 0] Diaswordplay,,MeLevies [1 - 0] Leinux,,                        Leinux [0 - 3] Diaswordplay,,                   MeLevies [? - ?] Leinux
,BraveBirdGames [0 - 6] Enteitainment,, NeverusedShiro [1 - 0] Burakio          ,,       BraveBirdGames [0 - 3] Scarlet,,                        Crowd [? - ?] Burakio


,4. Spieltag - Mittwoch der 24.02.2016,,11. Spieltag - Mittwoch der 13.04.2016,,17. Spieltag - Mittwoch der 01.06.2016,,24. Spieltag - Mittwoch der 20.07.2016

, Enteitainment [4 - 0] Kayze         ,,                          Kayze [0 - 4] Burakio,,                        Scarlet [? - ?] Kayze,,                        Kayze [? - ?] Burakio
,          Diaswordplay [4 - 0] BraveBirdGames,,                         Leinux [1 - 0] Crowd,,              Diaswordplay [? - ?] BraveBirdGames,,                        Leinux [? - ?] Crowd
,Light Gaming [3 - 0] Leinux      ,,         BraveBirdGames [0 - 4] MeLevies,,              Light Gaming [? - ?] Leinux,,       BraveBirdGames [? - ?] MeLevies
, KilluaSan [4 - 0] WolvX ,,              Enteitainment [3 - 0] Shizumania,,                   Pyromanix [? - ?] Burakio,,                       Scarlet [? - ?] Blacklink
,               PokeBree [0 - 1] NeverusedShiro,,               Diaswordplay [2 - 0] Cabgolord,,                    PokeBree [? - ?] Crowd,,              Diaswordplay [? - ?] Cabgolord
,      TheMiiFii [0 - 3] MeLevies,,               Light Gaming [5 - 0] TheMiiFii,,                     TheMiiFii [? - ?] MeLevies,,              Light Gaming [? - ?] TheMiiFii
,       Cabgolord [6 - 0] Shizumania,,                     KilluaSan [3 - 0] PokeBree,,                   Cabgolord [? - ?] Blacklink,,                   Pyromanix [? - ?] PokeBree


,5. Spieltag - Mittwoch der 02.03.2016,,12. Spieltag - Mittwoch der 20.04.2016,,18. Spieltag - Mittwoch der 08.06.2016,,25. Spieltag - Mittwoch der 27.07.2016

,                          Kayze [0 - 1] Shizumania,,                    PokeBree [1 - 0] Kayze,,                          Kayze [? - ?] Blacklink,,                  PokeBree [? - ?] Kayze
,                     MeLevies [0 - 5] Cabgolord,,                     TheMiiFii [0 - 1] KilluaSan,,                     MeLevies [? - ?] Cabgolord,,                    TheMiiFii [? - ?] Pyromanix
,           NeverusedShiro [0 - 4] TheMiiFii,,                   Cabgolord [2 - 0] Light Gaming,,                          Crowd [? - ?] TheMiiFii,,                  Cabgolord [? - ?] Light Gaming
,                          WolvX [3 - 0] PokeBree,,                  Shizumania [2 - 0] Diaswordplay,,                        Burakio [? - ?] PokeBree,,                     Blacklink [? - ?] Diaswordplay
,                          Leinux [4 - 0] KilluaSan,,                     MeLevies [0 - 4] Enteitainment,,                          Leinux [? - ?] Pyromanix,,                   MeLevies [? - ?] Scarlet
,          BraveBirdGames [2 - 0] Light Gaming,,                          Crowd [0 - 3] BraveBirdGames,,         BraveBirdGames [? - ?] Light Gaming,,                        Crowd [? - ?] BraveBirdGames
,               Enteitainment [0 - 3] Diaswordplay,,                        Burakio [2 - 0] Leinux,,                         Scarlet [? - ?] Diaswordplay,,                      Burakio [? - ?] Leinux


,6. Spieltag - Mittwoch der 09.03.2016,,13. Spieltag - Mittwoch der 27.04.2016,,19. Spieltag - Mittwoch der 15.06.2016,,26. Spieltag - Mittwoch der 03.08.2016

,               Diaswordplay [0 - 2] Kayze,,                          Kayze [3 - 0] Leinux,,              Diaswordplay [? - ?] Kayze,,                         Kayze [? - ?] Leinux
,               Light Gaming [4 - 0] Enteitainment,,         BraveBirdGames [4 - 0] Burakio,,              Light Gaming [? - ?] Scarlet,,        BraveBirdGames [? - ?] Burakio
,                     KilluaSan [1 - 0] BraveBirdGames,,              Enteitainment [0 - 2] Crowd,,                   Pyromanix [? - ?] BraveBirdGames,,                        Scarlet [? - ?] Crowd
,                     PokeBree [0 - 6] Leinux,,               Diaswordplay [0 - 3] MeLevies,,                     PokeBree [? - ?] Leinux,,              Diaswordplay [? - ?] MeLevies
,                      TheMiiFii [6 - 0] WolvX,,               Light Gaming [0 - 6] Shizumania,,                      TheMiiFii [? - ?] Burakio,,              Light Gaming [? - ?] Blacklink
,                    Cabgolord [0 - 5] NeverusedShiro,,                     KilluaSan [0 - 1] Cabgolord,,                    Cabgolord [? - ?] Crowd,,                   Pyromanix [? - ?] Cabgolord
,                   Shizumania [3 - 0] MeLevies,,                    PokeBree [2 - 0] TheMiiFii,,                      Blacklink [? - ?] MeLevies,,                    PokeBree [? - ?] TheMiiFii


,7. Spieltag - Mittwoch der 16.03.2016,,,,20. Spieltag - Mittwoch der 22.06.2016

,                          Kayze [0 - 1] MeLevies,,,,                          Kayze [? - ?] MeLevies
,          NeverusedShiro [0 - 2] Shizumania,,,,                          Crowd [? - ?] Blacklink
,                       Burakio [0 - 5] Cabgolord,,,,                        Burakio [? - ?] Cabgolord
,                         Leinux [0 - 3] TheMiiFii,,,,                          Leinux [? - ?] TheMiiFii
,         BraveBirdGames [2 - 0] PokeBree,,,,          BraveBirdGames [? - ?] PokeBree
,              Enteitainment [3 - 0] KilluaSan,,,,                          Scarlet [? - ?] Pyromanix
,               Diaswordplay [0 - 1] Light Gaming,,,,                Diaswordplay [? - ?] Light Gaming
