,,,,,,,,,,,,,,,,,,,,Link 1,Link 2,Link 3,Link 4,Link 5,Link 6,Link 7,Link 8,Link 9,Link 10
,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,#N/A
,Spieltag 4,9,,,,#VALUE!,,:,,#VALUE!,,,,,,,,,,,,,,,,,,,,,Spieltag 5,9,,,,#VALUE!,,:,,#VALUE!,,,,Spieltag 6,9,,,,#VALUE!,,:,,#VALUE!
,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,#N/A
,Spieltag 4,10,,,,#VALUE!,,:,,#VALUE!,,,,,,,,,,,,,,,,,,,,,Spieltag 5,10,,,,#VALUE!,,:,,#VALUE!,,,,Spieltag 6,10,,,,#VALUE!,,:,,#VALUE!
,,,,,,Sicht von Domji,18 Uhr,,,Sicht von Blocki,,,,,,,,,,,,,,,,,,,,,,,,,,Sicht von Raizor,18 Uhr,,,Sicht von Domji,,,,,,,,,Sicht von Deniz,18 Uhr,,,Sicht von RobinVGC
,,,,,,VGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Einzelkampf,,,,,,,,,,,,,VGC



,,,,,Spieltag 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spieltag 8,,,,,,,,,,,,,Spieltag 9

,,,,,,Sonntag - 16.11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sonntag - 23.11.25,,,,,,,,,,,,,Sonntag - 30.11.25
,Spieltag 7,1,Spieltag 7Raizor vs Pokgalaxy,,,Raizor,,:,,Pokgalaxy,,,,,,,,,,,,,,,,,,,,,Spieltag 8,1,Spieltag 8Sirazoa vs Raizor,,,Sirazoa,,:,,Raizor,,,,Spieltag 9,1,Spieltag 9Present vs Pokgalaxy,,,Present,,:,,Pokgalaxy
,,,#N/A,,,Sicht von Raizor,12 Uhr,,,Sicht von Pokgalaxy,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,Sicht von Sirazoa,12 Uhr,,,Sicht von Raizor,,,,,,#N/A,,,Sicht von Present,12 Uhr,,,Sicht von Pokgalaxy
,Spieltag 7,2,Spieltag 7Bene vs OGDeniz96,,,Bene,,:,,OGDeniz96,,,,,,,,,,,,,,,,,,,,,Spieltag 8,2,Spieltag 8Minetube vs Present,,,Minetube,,:,,Present,,,,Spieltag 9,2,Spieltag 9Snomnie vs Sirazoa,,,Snomnie,,:,,Sirazoa
,,,#N/A,,,Sicht von Bene ,13 Uhr,,,Sicht von Deniz,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,Sicht von Minetube,13 Uhr,,,Sicht von Present,,,,,,#N/A,,,Sicht von Snomnie,13 Uhr,,,Sicht von Sirazoa
,Spieltag 7,3,Spieltag 7Nestfloh vs King Blex,,,Nestfloh,,:,,King Blex,,,,,,,,,,,,,,,,,,,,,Spieltag 8,3,Spieltag 8Pokgalaxy vs Snomnie,,,Pokgalaxy,,:,,Snomnie,,,,Spieltag 9,3,Spieltag 9Dauni vs Domji,,,Dauni,,:,,Domji
,,,#N/A,,,Sicht von Nestfloh,14 Uhr,,,Sicht von King Blex,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,Sicht von Pokgalaxy,14 Uhr,,,Sicht von Snomnie,,,,,,#N/A,,,Sicht von Dauni,14 Uhr,,,Sicht von Domji
,Spieltag 7,4,Spieltag 7Present vs Domji,,,Present,,:,,Domji,,,,,,,,,,,,,,,,,,,,,Spieltag 8,4,Spieltag 8OGDeniz96 vs Blocki,,,OGDeniz96,,:,,Blocki,,,,Spieltag 9,4,Spieltag 9Raizor vs OGDeniz96,,,Raizor,,:,,OGDeniz96
,,,#N/A,,,Sicht von Present,15 Uhr,,,Sicht von Domji,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,Sicht von Deniz,15 Uhr,,,Sicht von Blocki,,,,,,#N/A,,,Sicht von Raizor,15 Uhr,,,Sicht von Deniz
,Spieltag 7,5,Spieltag 7Blocki vs Sirazoa,,,Blocki,,:,,Sirazoa,,,,,,,,,,,,,,,,,,,,,Spieltag 8,5,Spieltag 8Domji vs Nestfloh,,,Domji,,:,,Nestfloh,,,,Spieltag 9,5,Spieltag 9Blocki vs Bene,,,Blocki,,:,,Bene
,,,#N/A,,,Sicht von Blocki,16 Uhr,,,Sicht von Sirazoa,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,Sicht von Domji,16 Uhr,,,Sicht von Nestfloh,,,,,,#N/A,,,Sicht von Blocki,16 Uhr,,,Sicht von Bene 
,,,,,,Eiskaskaden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eiskaskaden,,,,,,,,,,,,,Eiskaskaden
,Spieltag 7,6,Spieltag 7Snomnie vs Minetube,,,Snomnie,,:,,Minetube,,,,,,,,,,,,,,,,,,,,,Spieltag 8,6,Spieltag 8Bene vs RobinVGC,,,Bene,,:,,RobinVGC,,,,Spieltag 9,6,Spieltag 9Nestfloh vs Minetube,,,Nestfloh,,:,,Minetube
,,,#N/A,,,Sicht von Snomnie,17 Uhr,,,Sicht von Minetube,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,Sicht von Bene ,17 Uhr,,,Sicht von RobinVGC,,,,,,#N/A,,,Sicht von Nestfloh,17 Uhr,,,Sicht von Minetube
,Spieltag 7,7,Spieltag 7RobinVGC vs Dauni,,,RobinVGC,,:,,Dauni,,,,,,,,,,,,,,,,,,,,,Spieltag 8,7,Spieltag 8King Blex vs Dauni,,,King Blex,,:,,Dauni,,,,Spieltag 9,7,Spieltag 9RobinVGC vs King Blex,,,RobinVGC,,:,,King Blex
,,,#N/A,,,Sicht von Robin,18 Uhr,,,Sicht von Dauni,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,Sicht von King Blex,18 Uhr,,,Sicht von Dauni,,,,,,#N/A,,,Sicht von Robin,18 Uhr,,,Sicht von King Blex
,Spieltag 7,8,,,,#VALUE!,,:,,#VALUE!,,,,,,,,,,,,,,,,,,,,,Spieltag 8,8,,,,#VALUE!,,:,,#VALUE!,,,,Spieltag 9,8,,,,#VALUE!,,:,,#VALUE!
,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,,,,,,,#N/A
