
,,,,,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,,,,,,,,,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,,,,,,,,,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,,,,,,,,,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh
,,,,,Minetube,,,,,,,,,,,,,,,,,Siege : 10,,,,,,,Present,,,,,,,,,,,,,,,,,Siege : 10,,,,,,,Bene,,,,,,,,,,,,,,,,,Siege : 9,,,,,,,Nestfloh,,,,,,,,,,,,,,,,,Siege : 8

,,,,,Throes Mad,,,,,,,,,,,,,,,,,,,,,,,,Prekani,,,,,,,,,,,,,,,,,,,,,,,,Wackel Backel,,,,,,,,,,,,,,,,,,,,,,,,Böller Brüder
,,,,,,,,,,,,,,,,,,,,,,Niederlagen : 3,,,,,,,,,,,,,,,,,,,,,,,,Niederlagen : 3,,,,,,,,,,,,,,,,,,,,,,,,Niederlagen : 4,,,,,,,,,,,,,,,,,,,,,,,,Niederlagen : 5
,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,P1,P2,Fin,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,P1,P2,Fin,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,P1,P2,Fin,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,P1,P2,Fin

,,Platz 2,,,S,S,S,N,S,S,S,S,N,S,N,S,S,-,N,N,,Kills,⌀,,,Platz 1,,,N,S,N,S,S,S,S,N,S,S,S,S,S,S,N,S,,Kills,⌀,,,Platz 4,,,S,S,S,S,N,N,S,N,S,S,S,N,S,S,S,S,,Kills,⌀,,,Platz 3,,,S,S,N,N,S,S,S,S,S,N,S,N,N,N,X,X,,Kills,⌀
,Minetube,Elevoltek,,,,,,,,,,,,,,,,,1,,,1,"1,0",,Present,Mottineva,,,,,,,,,2,,,,,,0,,,,,2,"1,0",,Bene,Giflor,,,,,,,,,,,,,,,,,1,,,1,"1,0",,Nestfloh,Arktilas,,,0,4,1,0,2,,1,,2,,0,,,0,,,,10,"1,1"
,Minetube,Mew,,,1,,,0,,0,0,2,,1,1,,2,,,,,7,"0,9",,Present,Dragoran,,,0,,0,,1,2,,,,,,1,0,,,,,4,"0,7",,Bene,Demeteros,,,2,3,0,1,,,0,,,1,2,,,,,,,9,"1,3",,Nestfloh,Lumiflora,,,,,1,3,,5,0,2,2,,2,1,0,,,,,16,"1,8"
,Minetube,Affiti,,,,,,0,,,,,,,,1,,,,,,1,"0,5",,Present,Tengulist,,,,1,2,,,,,0,,3,,2,,,,,,8,"1,6",,Bene,Deoxys-Geschwindigkeit,,,,3,,0,1,,0,1,0,0,0,0,2,,,,,7,"0,7",,Nestfloh,Guardevoir,,,,1,0,0,,,,,2,0,,0,0,,,,,3,"0,4"
,Minetube,Traunfugil,,,0,,,1,0,,,,,,,1,,,,,,2,"0,5",,Present,Zytomega,,,0,0,,0,,,,,,1,,0,3,,,,,4,"0,7",,Bene,Bailonda,,,1,,0,,0,,0,,2,1,,,1,,,,,5,"0,7",,Nestfloh,Irokex,,,,0,,,,0,,1,,0,,,1,,,,,2,"0,4"
,Minetube,,,,,,,,,,,,,,,,,,,,,0,"0,0",,Present,,,,,,,,,,,,,,,,,,,,,0,"0,0",,Bene,Granforgita,,,0,0,0,4,,,,0,0,,,,3,,,,,7,"1,0",,Nestfloh,Ursaring,,,5,,0,,,,,,,,,1,,,,,,6,"2,0"
,Minetube,,,,,,,,,,,,,,,,,,,,,0,"0,0",,Present,,,,,,,,,,,,,,,,,,,,,0,"0,0",,Bene,Bronzong,,,,,,,0,,,0,,1,,0,,,,,,1,"0,3",,Nestfloh,Rotom-Heat,,,,,,,,,,,,,,,,,,,,0,"0,0"


,,,,,Raizor,Raizor,Raizor,Raizor,Raizor,Raizor,Raizor,Raizor,Raizor,Raizor,Raizor,Raizor,Raizor,Raizor,Raizor,Raizor,,,,,,,,,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,,,,,,,,,RobinVGC,RobinVGC,RobinVGC,RobinVGC,RobinVGC,RobinVGC,RobinVGC,RobinVGC,RobinVGC,RobinVGC,RobinVGC,RobinVGC,RobinVGC,RobinVGC,RobinVGC,RobinVGC
,,,,,Raizor,,,,,,,,,,,,,,,,,Siege : 8,,,,,,,Dauni,,,,,,,,,,,,,,,,,Siege : 8,,,,,,,RobinVGC,,,,,,,,,,,,,,,,,Siege : 8

,,,,,Unbound Soul,,,,,,,,,,,,,,,,,,,,,,,,Pfundskerle,,,,,,,,,,,,,,,,,,,,,,,,Choice Bandits
,,,,,,,,,,,,,,,,,,,,,,Niederlagen : 5,,,,,,,,,,,,,,,,,,,,,,,,Niederlagen : 5,,,,,,,,,,,,,,,,,,,,,,,,Niederlagen : 5
,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,P1,P2,Fin,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,P1,P2,Fin,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,P1,P2,Fin

,,Platz 6,,,S,N,N,S,S,N,N,S,S,N,S,S,S,S,S,N,,Kills,⌀,,,Platz ,,,N,S,S,S,N,N,N,S,S,N,S,S,S,N,X,X,,Kills,⌀,,,Platz 5,,,S,S,S,N,N,S,S,S,S,S,N,N,N,N,X,X,,Kills,⌀
,Raizor,Snieboss,,,0,0,0,,0,0,1,0,2,0,2,1,4,1,3,2,,16,"1,1",,Dauni,Donnersichel,,,0,0,,,1,,1,,4,,0,,4,0,,,,10,"1,3",,RobinVGC,Latios,,,1,0,2,1,,0,,,4,0,,0,0,0,,,,8,"0,8"
,Raizor,Knakrack,,,,,,,,,,,,,,,,0,4,5,,9,"3,0",,Dauni,Ogerpon,,,,,,,,,,,,,,,,,,,,0,"0,0",,RobinVGC,Gortrom,,,,,,,,,,,,,,,,,,,,0,"0,0"
,Raizor,Servol-w,,,,0,,0,,0,,0,0,0,,0,,,0,0,,0,"0,0",,Dauni,Primarene,,,0,3,0,,0,2,0,4,1,1,2,,1,,,,,14,"1,3",,RobinVGC,Fatalitcha,,,4,1,0,0,0,0,,0,,2,,1,0,0,,,,8,"0,7"
,Raizor,Fiaro,,,,,,,,,,,,,,,,,0,,,0,"0,0",,Dauni,Krarmor,,,,,,,,,,,,,,,,0,,,,0,"0,0",,RobinVGC,Hisui-Viscogon,,,,,,,,,,,,,,,,0,,,,0,"0,0"
,Raizor,Eisenhaupt,,,3,,,,,,0,3,0,,2,7,0,0,,1,,16,"1,8",,Dauni,Terrakium,,,4,1,0,4,1,0,2,4,0,,0,0,0,0,,,,16,"1,2",,RobinVGC,Raikou,,,,0,,,0,2,1,0,0,,1,0,,,,,,4,"0,5"
,Raizor,Turtok,,,,0,,0,,,,,1,,1,,,,,0,,2,"0,4",,Dauni,Sandfell,,,,,,,,,,,,,,,,3,,,,3,"3,0",,RobinVGC,Rabigator,,,0,,0,,0,,,6,0,,0,1,0,,,,,7,"0,9"
,Raizor,Feelinara,,,,,,,,,,,,,,,,3,,,,3,"3,0",,Dauni,Crimanzo,,,,,1,,,0,1,,,,0,4,,,,,,6,"1,2",,RobinVGC,Resladero,,,,,,,,,,,,,,,,,,,,0,"0,0"
,Raizor,Zoroark,,,,,,,,,,,,,,,,1,3,1,,5,"1,7",,Dauni,Zobiris,,,,,,0,,0,,1,,0,,0,,,,,,1,"0,2",,RobinVGC,Florges,,,,,,,,,,,,,,,,0,,,,0,"0,0"
,Raizor,Silvarro,,,,0,0,,2,,0,,,0,0,0,,,,,,2,"0,3",,Dauni,Trombork,,,,,,,,,,,,,,,,0,,,,0,"0,0",,RobinVGC,Montecarbo,,,,6,0,2,0,6,0,2,0,0,1,0,1,3,,,,21,"1,6"
,Raizor,Alola-Raichu,,,,,,,,,,,,,,,,,0,,,0,"0,0",,Dauni,Vesprit,,,0,,3,,1,,,1,,,1,0,,,,,,6,"1,0",,RobinVGC,Illumise,,,1,0,,0,,0,,,,2,,,,1,,,,4,"0,7"
,Raizor,Hisui-Arktilas,,,0,,1,1,0,1,0,2,2,,1,,0,1,,0,,9,"0,8",,Dauni,Ambidiffel,,,,0,,,,0,,1,,0,,,,0,,,,1,"0,2",,RobinVGC,Barschuft,,,,,,,,,,,,,,,,,,,,0,"0,0"
,Raizor,Cupidos-Therian,,,0,1,0,4,,,,,,,0,,,,,,,5,"1,0",,Dauni,Tenterra,,,,,,0,0,,,,,,,,1,,,,,1,"0,3",,RobinVGC,Aggrostella,,,,,,,1,,1,,,0,,,,,,,,2,"0,7"
,Raizor,Ursaluna,,,3,3,2,3,0,4,0,,,3,,0,2,,,,,20,"2,0",,Dauni,Scherox,,,0,6,1,1,0,,1,,0,2,3,3,0,,,,,17,"1,5",,RobinVGC,Wie-Shu,,,0,1,4,0,,1,4,0,,4,0,0,1,,,,,15,"1,4"
,Raizor,Entei,,,,,,,3,,0,1,,0,,,0,,,,,4,"0,8",,Dauni,Myriador,,,0,,,1,,,,,0,0,,,,,,,,1,"0,3",,RobinVGC,Registeel,,,4,,,,,,0,,1,,0,,,,,,,5,"1,3"
,Raizor,Voltrean,,,0,,1,,,0,,,,,,,0,,,,,1,"0,3",,Dauni,Zapdos,,,,1,1,2,,0,0,0,1,1,,1,0,,,,,7,"0,7",,RobinVGC,Cupidos,,,,,0,0,1,,0,0,1,,1,,2,,,,,5,"0,6"
,Raizor,Alola-Snobilikat,,,,,,0,1,0,,2,1,1,,0,,,,,,5,"0,7",,Dauni,,,,,,,,,,,,,,,,,,,,,0,"0,0",,RobinVGC,Kronjuwild,,,,,,,,,,,,,,,,,,,,0,"0,0"
