
,#REF!,,1,Flixr,,Noah,,Flixr,,Pokegantes,,Bäumchen,,Rudi,,Roggi,,Rudi,,KingLordNiklas,,Xatu,,Xatu,,,,,,,,,,,,D-Tier,C-Tier
,,,2,KingLordNiklas,,Franklyn,,Noah,,Bäumchen,,Flixr,,Xatu,,Xatu,,Franklyn,,Rudi,,Franklyn,,Roggi,,,,,,,,,,,,unfilled,unfilled
,,,3,Rudi,,Xatu,,Rudi,,Roggi,,Pokegantes,,Eren,,KingLordNiklas,,Bäumchen,,Flixr,,Noah,,Flixr,,,,,,,,,,,,Primarene,unfilled
,,,4,Eren,,Roggi,,Xatu,,KingLordNiklas,,Roggi,,Franklyn,,Pokegantes,,Noah,,Pokegantes,,Eren,,Franklyn,,,,,,,,,,,,A-Tier,unfilled
,,,5,Bäumchen,,Pokegantes,,Eren,,Franklyn,,KingLordNiklas,,Noah,,Eren,,Flixr,,Bäumchen,,Roggi,,Pokegantes,,,,,,,,,,,,Scherox,unfilled
,,,6,Pokegantes,,Bäumchen,,Franklyn,,Eren,,Noah,,KingLordNiklas,,Flixr,,Eren,,Roggi,,Bäumchen,,Bäumchen,,,,,,,,,,,,A-Tier,unfilled
,,,7,Roggi,,Eren,,KingLordNiklas,,Xatu,,Franklyn,,Roggi,,Noah,,Pokegantes,,Eren,,Pokegantes,,Rudi,,,,,,,,,,,,Donnersichel,unfilled
,,,8,Xatu,,Rudi,,Roggi,,Rudi,,Eren,,Pokegantes,,Bäumchen,,KingLordNiklas,,Noah,,Flixr,,Eren,,,,,,,,,,,,S-Tier,unfilled
,,,9,Franklyn,,KingLordNiklas,,Bäumchen,,Noah,,Xatu,,Flixr,,Franklyn,,Xatu,,Franklyn,,Rudi,,Noah,,,,,,,,,,,,Myriador,unfilled
,,,10,Noah,,Flixr,,Pokegantes,,Flixr,,Rudi,,Bäumchen,,Rudi,,Roggi,,Xatu,,KingLordNiklas,,KingLordNiklas,,,,,,,,,,,,B-Tier,unfilled
,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ambidiffel,unfilled
,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terrakium,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tenterra,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vesprit,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zapdos,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crimanzo,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zobiris,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gladimperio,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garados,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pixi,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kapoera,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gortrom,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bandelby,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mamutel,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skelabra,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Voltolos-Therian,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Psiana,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gewaldro,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eisenrad,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eisenhals,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tentoxa,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hoopa-Entfesselt,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pokusan,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fruyal,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hisui-Arkani,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Porygon-Z,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eisenhand,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mimigma,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Britzigel,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-Tier,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled,unfilled
