

,,Rabigator,von ,RobinVGC,,0,,0,,0,,,6,0,,0,1,0,,,,,7,7,"1,00"
,,Resladero,von ,RobinVGC,,,,,,,,,,,,,,,,,,,0,0
,,Florges,von ,RobinVGC,,,,,,,,,,,,,,,0,,,,0,1,"0,00"
,,Montecarbo,von ,RobinVGC,,,6,0,2,0,6,0,2,0,0,1,0,1,3,,,,21,13,"1,62"
,,Illumise,von ,RobinVGC,,1,0,,0,,0,,,,2,,,,1,,,,4,5,"0,80"
,,Barschuft,von ,RobinVGC,,,,,,,,,,,,,,,,,,,0,0
,,Aggrostella,von ,RobinVGC,,,,,,1,,1,,,0,,,,,,,,2,3,"0,67"
,,Wie-Shu,von ,RobinVGC,,0,1,4,0,,1,4,0,,4,0,0,1,,,,,15,10,"1,50"
,,Registeel,von ,RobinVGC,,4,,,,,,0,,1,,0,,,,,,,5,3,"1,67"
,,Cupidos,von ,RobinVGC,,,,0,0,1,,0,0,1,,1,,2,,,,,5,8,"0,63"
,,Kronjuwild,von ,RobinVGC,,,,,,,,,,,,,,,,,,,0,0
,,Katapuldra,von ,Nestfloh,,1,2,1,0,0,1,4,0,0,0,2,,1,1,,,,13,12,"1,08"
,,Ogerpon-Wasser,von ,Nestfloh,,,,,,,,,,,,,,,2,,,,2,1,"2,00"
,,Impoleon,von ,Nestfloh,,0,,,0,1,0,,0,0,,0,,,0,,,,1,7,"0,14"
,,Pamomamo,von ,Nestfloh,,0,,,0,0,,1,1,0,0,0,0,0,,,,,2,9,"0,22"
,,Cresselia,von ,Nestfloh,,0,1,,,2,0,,,,0,2,0,,,,,,5,6,"0,83"
,,Lavados,von ,Nestfloh,,,,0,,1,,0,4,,,,1,2,,,,,8,6,"1,33"
,,Grypheldis,von ,Nestfloh,,,,,,,,,,,,,,,,,,,0,0
,,Bandelby,von ,Nestfloh,,,,,,,,,,,,,,,0,,,,0,1,"0,00"
,,Pampross,von ,Nestfloh,,,0,,,,2,0,,,2,,,,,,,,4,4,"1,00"
,,Alola-Sleimok,von ,Nestfloh,,,,,,,,,,,,,,,1,,,,1,1,"1,00"
,,Arktilas,von ,Nestfloh,,0,4,1,0,2,,1,,2,,0,,,0,,,,10,8,"1,25"
,,Lumiflora,von ,Nestfloh,,,,1,3,,5,0,2,2,,2,1,0,,,,,16,9,"1,78"
,,Guardevoir,von ,Nestfloh,,,1,0,0,,,,,2,0,,0,0,,,,,3,7,"0,43"
,,Irokex,von ,Nestfloh,,,0,,,,0,,1,,0,,,1,,,,,2,5,"0,40"
,,Ursaring,von ,Nestfloh,,5,,0,,,,,,,,,1,,,,,,6,2,"3,00"
,,Rotom-Heat,von ,Nestfloh,,,,,,,,,,,,,,,,,,,0,0



,,Killliste
,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,P1,P2,Fin,Fin,Gesamt,Spiele,⌀
,1,Rizeros,von ,Present,,0,5,0,1,2,4,1,,1,3,0,1,2,3,1,6,,30,14,"2,14"
,2,Caesurio,von ,Bene,,2,0,3,0,1,2,1,2,,2,0,1,0,3,,7,,24,13,"1,85"
,3,Montecarbo,von ,RobinVGC,,,6,0,2,0,6,0,2,0,0,1,0,1,3,,,,21,13,"1,62"
,4,Ursaluna,von ,Raizor,,3,3,2,3,0,4,0,,,3,,0,2,,,,,20,9,"2,22"
,5,Scherox,von ,Dauni,,0,6,1,1,0,,1,,0,2,3,3,0,,,,,17,10,"1,70"
,6,Snieboss,von ,Raizor,,0,0,0,,0,0,1,0,2,0,2,1,4,1,3,2,,16,14,"1,14"
,6,Eisenhaupt,von ,Raizor,,3,,,,,,0,3,0,,2,7,0,0,,1,,16,8,"2,00"
,6,Terrakium,von ,Dauni,,4,1,0,4,1,0,2,4,0,,0,0,0,0,,,,16,12,"1,33"
,6,Lumiflora,von ,Nestfloh,,,,1,3,,5,0,2,2,,2,1,0,,,,,16,9,"1,78"
,10,Kobalium,von ,Present,,0,,,5,,0,1,1,1,0,2,,,,0,5,,15,9,"1,67"
,10,Wie-Shu,von ,RobinVGC,,0,1,4,0,,1,4,0,,4,0,0,1,,,,,15,10,"1,50"
,12,Milotic,von ,Minetube,,2,,2,,0,2,,5,0,,,1,0,,,2,,14,8,"1,75"
,12,Demeteros-Therian,von ,Present,,2,,,,1,1,1,2,1,0,2,0,1,2,1,,,14,11,"1,27"
,12,Arkani,von ,Present,,,1,2,0,,,,2,1,,,6,,1,,1,,14,8,"1,75"
,12,Primarene,von ,Dauni,,0,3,0,,0,2,0,4,1,1,2,,1,,,,,14,10,"1,40"
,12,Amfira,von ,Bene,,,1,3,,0,1,4,,,,2,3,0,,0,,,14,9,"1,56"
,17,Stalobor,von ,Minetube,,,0,0,,2,1,2,1,0,0,0,,0,,3,4,,13,12,"1,08"
,17,Ogerpon-Gestein,von ,Bene,,1,1,0,3,0,0,,,3,3,1,1,,0,0,0,,13,12,"1,08"
,17,Katapuldra,von ,Nestfloh,,1,2,1,0,0,1,4,0,0,0,2,,1,1,,,,13,12,"1,08"
,20,Grandiras,von ,Minetube,,,5,,3,3,,0,,,0,0,,1,,,,,12,7,"1,71"
,20,Toxiquak,von ,Minetube,,,0,0,,,1,,0,0,4,,1,2,,,4,,12,9,"1,33"
,22,Panzaeron,von ,Minetube,,1,,0,,0,3,2,0,,,0,4,,,0,0,,10,9,"1,11"
,22,Rotom-Wash,von ,Present,,0,,1,2,0,1,,2,0,1,1,,0,,0,2,,10,11,"0,91"
,22,Donnersichel,von ,Dauni,,0,0,,,1,,1,,4,,0,,4,0,,,,10,7,"1,43"
,22,Arktilas,von ,Nestfloh,,0,4,1,0,2,,1,,2,,0,,,0,,,,10,8,"1,25"
,26,Maskagato,von ,Minetube,,1,0,3,0,1,,0,0,2,0,0,,1,,,1,,9,11,"0,82"
,26,Despotar,von ,Minetube,,1,0,,0,,1,2,,1,3,0,,,,1,,,9,8,"1,13"
,26,Drifzepeli,von ,Minetube,,,,,,,,,,,,,,,,2,7,,9,2,"4,50"
,26,Knakrack,von ,Raizor,,,,,,,,,,,,,,,0,4,5,,9,3,"3,00"
,26,Hisui-Arktilas,von ,Raizor,,0,,1,1,0,1,0,2,2,,1,,0,1,,0,,9,11,"0,82"
,26,UHaFnir,von ,Bene,,0,,,0,,0,,0,1,,1,2,,2,3,,,9,8,"1,13"
,26,Demeteros,von ,Bene,,2,3,0,1,,,0,,,1,2,,,,,,,9,6,"1,50"
,33,Beatori,von ,Present,,,2,,0,1,0,0,0,2,,0,,,0,,3,,8,10,"0,80"
,33,Tengulist,von ,Present,,,1,2,,,,,0,,3,,2,,,,,,8,5,"1,60"
