
,Killliste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Backel Gefackel Punkte
,Rang,,Pokemon,,,,Liga,Sp 1,Sp 2,Sp 3,Sp 4,Sp 5,Sp 6,Sp 7,Sp 8,Sp 9,Sp 10,Sp 11,Sp 12,Sp 13,Kills Gesamt,Team,,Quote,,,,,,,,Rang,,Pokemon,,,,Liga,Sp 1,Sp 2,Sp 3,Sp 4,Sp 5,Sp 6,Sp 7,Sp 8,Sp 9,Sp 10,Sp 11,Punkte Gesamt,Team
,,6,Tentoxa,von,King Blex,,GPL,,,0,0,,0,0,,,,,0,0,0,,Cyber End Jugulis,"-0,006","-0,00597",,,,,,,,,Tentoxa,von,King Blex,,GPL,,,,,,,,,,,,0,,Cyber End Jugulis
,,7,Porygon-Z,von,King Blex,,GPL,4,,,0,,1,,,1,0,,,,6,,Cyber End Jugulis,"5,995","5,99503",,,,,,,,,Porygon-Z,von,King Blex,,GPL,,,,,,,,,,,,0,,Cyber End Jugulis
,,8,Mimigma,von,King Blex,,GPL,2,0,1,,1,,,0,,1,,,,5,,Cyber End Jugulis,"4,994","4,99403",,,,,,,,,Mimigma,von,King Blex,,GPL,,,,,,,,,,,,0,,Cyber End Jugulis
,,9,Pokusan,von,King Blex,,GPL,,,,,,0,,,,,,,,0,,Cyber End Jugulis,"-0,001","-0,00096",,,,,,,,,Pokusan,von,King Blex,,GPL,,,,,,,,,,,,0,,Cyber End Jugulis
,,10,Fruyal,von,King Blex,,GPL,,0,,,,,,0,2,0,0,3,,5,,Cyber End Jugulis,"4,994","4,99404",,,,,,,,,Fruyal,von,King Blex,,GPL,,,,,,,,,,,,0,,Cyber End Jugulis
,,11,Britzigel,von,King Blex,,GPL,,0,0,,0,,0,0,,,,3,0,3,,Cyber End Jugulis,"2,993","2,99305",,,,,,,,,Britzigel,von,King Blex,,GPL,,,,,,,,,,,,0,,Cyber End Jugulis
,,12,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,1,Mew,von,Minetube,,GPL,1,,,0,,0,0,2,,1,1,,2,7,,Throes Mad,"6,992","6,99201",,,,,,,,,Mew,von,Minetube,,GPL,,,,,,,,,,,,0,,Throes Mad
,,2,Maskagato,von,Minetube,,GPL,1,0,3,0,1,,0,0,2,0,0,,1,8,,Throes Mad,"7,989","7,98901",,,,,,,,,Maskagato,von,Minetube,,GPL,,,,,,,,,,,,0,,Throes Mad
,,3,Despotar,von,Minetube,,GPL,1,0,,0,,1,2,,1,3,0,,,8,,Throes Mad,"7,992","7,99202",,,,,,,,,Despotar,von,Minetube,,GPL,,,,,,,,,,,,0,,Throes Mad
