
,Killliste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Backel Gefackel Punkte
,Rang,,Pokemon,,,,Liga,Sp 1,Sp 2,Sp 3,Sp 4,Sp 5,Sp 6,Sp 7,Sp 8,Sp 9,Sp 10,Sp 11,Sp 12,Sp 13,Kills Gesamt,Team,,Quote,,,,,,,,Rang,,Pokemon,,,,Liga,Sp 1,Sp 2,Sp 3,Sp 4,Sp 5,Sp 6,Sp 7,Sp 8,Sp 9,Sp 10,Sp 11,Punkte Gesamt,Team
,16,,Alola-Vulnona,von,Sirazoa,,GPL,4,1,0,2,,2,2,0,,2,,0,1,14,,Eon Engine,"13,99","13,99002",,,,,,,1,,Diancie,von,Blocki,,GPL,,,,,,,,,,,,0,,Kastanienbomber
,16,,Primarene,von,Dauni,,GPL,0,3,0,,0,2,0,4,1,1,2,,1,14,,Pfundskerle,"13,989","13,98902",,,,,,,1,,Donphan,von,Blocki,,GPL,,,,,,,,,,,,0,,Kastanienbomber
,16,,Caesurio,von,Bene,,GPL,2,0,3,0,1,2,1,2,,2,0,1,0,14,,Wackel Backel,"13,988","13,98804",,,,,,,1,,Rotom,von,Blocki,,GPL,,,,,,,,,,,,0,,Kastanienbomber
,22,,Ogerpon-Gestein,von,Bene,,GPL,1,1,0,3,0,0,,,3,3,1,1,,13,,Wackel Backel,"12,99","12,99001",,,,,,,1,,Calamanero,von,Blocki,,GPL,,,,,,,,,,,,0,,Kastanienbomber
,22,,Eisenhand,von,King Blex,,GPL,3,1,0,1,0,,1,4,1,0,1,0,1,13,,Cyber End Jugulis,"12,988","12,98801",,,,,,,1,,Donnersichel,von,Dauni,,GPL,,,,,,,,,,,,0,,Pfundskerle
,24,,Arkani,von,Present,,GPL,,1,2,0,,,,2,1,,,6,,12,,Prekani,"11,994","11,99402",,,,,,,1,,Zapdos,von,Dauni,,GPL,,,,,,,,,,,,0,,Pfundskerle
,24,,Grandiras,von,Minetube,,GPL,,5,,3,3,,0,,,0,0,,1,12,,Throes Mad,"11,993","11,99302",,,,,,,1,,Primarene,von,Dauni,,GPL,,,,,,,,,,,,0,,Pfundskerle
,24,,Milotic,von,Minetube,,GPL,2,,2,,0,2,,5,0,,,1,0,12,,Throes Mad,"11,992","11,99203",,,,,,,1,,Scherox,von,Dauni,,GPL,,,,,,,,,,,,0,,Pfundskerle
,24,,Eisenhals,von,King Blex,,GPL,1,0,1,2,2,0,0,,1,,1,2,2,12,,Cyber End Jugulis,"11,989","11,98902",,,,,,,1,,Terrakium,von,Dauni,,GPL,,,,,,,,,,,,0,,Pfundskerle
,24,,Katapuldra,von,Nestfloh,,GPL,1,2,1,0,0,1,4,0,0,0,2,,1,12,,Böller Brüder,"11,988","11,98801",,,,,,,1,,Myriador,von,Dauni,,GPL,,,,,,,,,,,,0,,Pfundskerle
,29,,Skelabra,von,Domji,,GPL,,3,0,2,0,3,1,,0,,2,,,11,,Shining Legends,"10,992","10,99203",,,,,,,1,,Crimanzo,von,Dauni,,GPL,,,,,,,,,,,,0,,Pfundskerle
,29,,Demeteros-Therian,von,Present,,GPL,2,,,,1,1,1,2,1,0,2,0,1,11,,Prekani,"10,99","10,99001",,,,,,,1,,Zobiris,von,Dauni,,GPL,,,,,,,,,,,,0,,Pfundskerle
,31,,Donnersichel,von,Dauni,,GPL,0,0,,,1,,1,,4,,0,,4,10,,Pfundskerle,"9,993","9,99301",,,,,,,1,,Tenterra,von,Dauni,,GPL,,,,,,,,,,,,0,,Pfundskerle
,31,,Arktilas,von,Nestfloh,,GPL,0,4,1,0,2,,1,,2,,0,,,10,,Böller Brüder,"9,992","9,99205",,,,,,,1,,Vesprit,von,Dauni,,GPL,,,,,,,,,,,,0,,Pfundskerle
,31,,Panzaeron,von,Minetube,,GPL,1,,0,,0,3,2,0,,,0,4,,10,,Throes Mad,"9,992","9,99203",,,,,,,1,,Ambidiffel,von,Dauni,,GPL,,,,,,,,,,,,0,,Pfundskerle
,31,,Kobalium,von,Present,,GPL,0,,,5,,0,1,1,1,0,2,,,10,,Prekani,"9,992","9,99203",,,,,,,1,,Gladimperio,von,Domji,,GPL,,,,,,,,,,,,0,,Shining Legends
,31,,Sandfell,von,OGDeniz96,,GPL,2,0,1,3,0,,,2,2,0,,,0,10,,Squid Squad,"9,991","9,99103",,,,,,,1,,Gortrom,von,Domji,,GPL,,,,,,,,,,,,0,,Shining Legends
,31,,Trikephalo,von,Snomnie,,GPL,,1,2,1,,0,1,,1,2,0,2,,10,,Corvi Crushers,"9,991","9,99102",,,,,,,1,,Pixi,von,Domji,,GPL,,,,,,,,,,,,0,,Shining Legends
,31,,Riesenzahn,von,Sirazoa,,GPL,1,1,0,2,,0,0,,4,0,0,1,1,10,,Eon Engine,"9,989","9,98901",,,,,,,1,,Mamutel,von,Domji,,GPL,,,,,,,,,,,,0,,Shining Legends
,31,,Snieboss,von,Raizor,,GPL,0,0,0,,0,0,1,0,2,0,2,1,4,10,,Unbound Soul,"9,988","9,98801",,,,,,,1,,Voltolos-Therian,von,Domji,,GPL,,,,,,,,,,,,0,,Shining Legends
,39,,Infamomo,von,Snomnie,,GPL,5,,1,,,,,1,0,,,1,1,9,,Corvi Crushers,"8,994","8,99402",,,,,,,1,,Garados,von,Domji,,GPL,,,,,,,,,,,,0,,Shining Legends
,39,,Kolowal,von,Sirazoa,,GPL,2,,,1,1,3,,2,,0,,,0,9,,Eon Engine,"8,993","8,99303",,,,,,,1,,Bandelby,von,Domji,,GPL,,,,,,,,,,,,0,,Shining Legends
,39,,Demeteros,von,Bene,,GPL,2,3,0,1,,,0,,,1,2,,,9,,Wackel Backel,"8,993","8,99302",,,,,,,1,,Skelabra,von,Domji,,GPL,,,,,,,,,,,,0,,Shining Legends
,39,,Snibunna,von,Pokgalaxy,,GPL,1,0,,,5,0,0,0,,,,0,3,9,,Tails of Mystery,"8,992","8,99202",,,,,,,1,,Kapoera,von,Domji,,GPL,,,,,,,,,,,,0,,Shining Legends
,39,,Metagross,von,OGDeniz96,,GPL,,,,0,0,1,0,5,1,1,1,,0,9,,Squid Squad,"8,991","8,99102",,,,,,,1,,Gewaldro,von,Domji,,GPL,,,,,,,,,,,,0,,Shining Legends
,39,,Liberlo,von,Snomnie,,GPL,0,2,,0,0,,0,,3,3,0,,1,9,,Corvi Crushers,"8,991","8,99101",,,,,,,1,,Psiana,von,Domji,,GPL,,,,,,,,,,,,0,,Shining Legends
,45,,Tengulist,von,Present,,GPL,,1,2,,,,,0,,3,,2,,8,,Prekani,"7,995","7,99504",,,,,,,1,,Hoopa-Entfesselt,von,King Blex,,GPL,,,,,,,,,,,,0,,Cyber End Jugulis
,45,,Lavados,von,Nestfloh,,GPL,,,0,,1,,0,4,,,,1,2,8,,Böller Brüder,"7,994","7,99403",,,,,,,1,,Eisenhand,von,King Blex,,GPL,,,,,,,,,,,,0,,Cyber End Jugulis
,45,,Feelinara,von,Pokgalaxy,,GPL,,,,,,2,,,0,4,0,2,0,8,,Tails of Mystery,"7,994","7,99403",,,,,,,1,,Eisenrad,von,King Blex,,GPL,,,,,,,,,,,,0,,Cyber End Jugulis
,45,,Toxiquak,von,Minetube,,GPL,,0,0,,,1,,0,0,4,,1,2,8,,Throes Mad,"7,992","7,99204",,,,,,,1,,Eisenhals,von,King Blex,,GPL,,,,,,,,,,,,0,,Cyber End Jugulis
,45,,Despotar,von,Minetube,,GPL,1,0,,0,,1,2,,1,3,0,,,8,,Throes Mad,"7,992","7,99202",,,,,,,1,,Hisui-Arkani,von,King Blex,,GPL,,,,,,,,,,,,0,,Cyber End Jugulis
,45,,Keldeo,von,Pokgalaxy,,GPL,1,,1,,0,4,0,,,1,1,0,0,8,,Tails of Mystery,"7,991","7,99102",,,,,,,1,,Tentoxa,von,King Blex,,GPL,,,,,,,,,,,,0,,Cyber End Jugulis
,45,,Volcanion,von,Sirazoa,,GPL,1,0,,,,3,2,2,0,0,0,0,,8,,Eon Engine,"7,991","7,99102",,,,,,,1,,Porygon-Z,von,King Blex,,GPL,,,,,,,,,,,,0,,Cyber End Jugulis
,45,,Boreos-Therian,von,Blocki,,GPL,0,0,,0,3,3,1,0,1,0,,,,8,,Kastanienbomber,"7,991","7,99101",,,,,,,1,,Mimigma,von,King Blex,,GPL,,,,,,,,,,,,0,,Cyber End Jugulis
,45,,Ogerpon,von,Blocki,,GPL,,3,0,0,0,,1,3,,0,0,,1,8,,Kastanienbomber,"7,991","7,99101",,,,,,,1,,Pokusan,von,King Blex,,GPL,,,,,,,,,,,,0,,Cyber End Jugulis
,45,,Latios,von,RobinVGC,,GPL,1,0,2,1,,0,,,4,0,,0,0,8,,Choice Bandits,"7,991","7,99101",,,,,,,1,,Fruyal,von,King Blex,,GPL,,,,,,,,,,,,0,,Cyber End Jugulis
,45,,Hisui-Arktilas,von,Raizor,,GPL,0,,1,1,0,1,0,2,2,,1,,0,8,,Unbound Soul,"7,99","7,99005",,,,,,,1,,Britzigel,von,King Blex,,GPL,,,,,,,,,,,,0,,Cyber End Jugulis
,45,,Rotom-Wash,von,Present,,GPL,0,,1,2,0,1,,2,0,1,1,,0,8,,Prekani,"7,99","7,99002",,,,,,,1,,Mew,von,Minetube,,GPL,,,,,,,,,,,,0,,Throes Mad
,45,,Fatalitcha,von,RobinVGC,,GPL,4,1,0,0,0,0,,0,,2,,1,0,8,,Choice Bandits,"7,99","7,99002",,,,,,,1,,Maskagato,von,Minetube,,GPL,,,,,,,,,,,,0,,Throes Mad
,45,,Maskagato,von,Minetube,,GPL,1,0,3,0,1,,0,0,2,0,0,,1,8,,Throes Mad,"7,989","7,98901",,,,,,,1,,Despotar,von,Minetube,,GPL,,,,,,,,,,,,0,,Throes Mad
,59,,Granforgita,von,Bene,,GPL,0,0,0,4,,,,0,0,,,,3,7,,Wackel Backel,"6,993","6,99302",,,,,,,1,,Grandiras,von,Minetube,,GPL,,,,,,,,,,,,0,,Throes Mad
,59,,Gladimperio,von,Domji,,GPL,1,,0,,0,5,,0,1,,0,,,7,,Shining Legends,"6,993","6,99301",,,,,,,1,,Stalobor,von,Minetube,,GPL,,,,,,,,,,,,0,,Throes Mad
,59,,Hoopa-Entfesselt,von,King Blex,,GPL,0,,,2,,1,0,,0,,1,,3,7,,Cyber End Jugulis,"6,993","6,99301",,,,,,,1,,Milotic,von,Minetube,,GPL,,,,,,,,,,,,0,,Throes Mad
,59,,Rabigator,von,RobinVGC,,GPL,0,,0,,0,,,6,0,,0,1,0,7,,Choice Bandits,"6,992","6,99203",,,,,,,1,,Panzaeron,von,Minetube,,GPL,,,,,,,,,,,,0,,Throes Mad
,59,,Hisui-Arkani,von,King Blex,,GPL,,,,,1,1,2,3,0,0,0,,0,7,,Cyber End Jugulis,"6,992","6,99202",,,,,,,1,,Curelei,von,Minetube,,GPL,,,,,,,,,,,,0,,Throes Mad
,59,,Mew,von,Minetube,,GPL,1,,,0,,0,0,2,,1,1,,2,7,,Throes Mad,"6,992","6,99201",,,,,,,1,,Affiti,von,Minetube,,GPL,,,,,,,,,,,,0,,Throes Mad
,59,,Gortrom,von,Domji,,GPL,2,1,0,,,0,,0,,2,1,1,0,7,,Shining Legends,"6,991","6,99101",,,,,,,1,,Toxiquak,von,Minetube,,GPL,,,,,,,,,,,,0,,Throes Mad
,59,,Deoxys-Geschwindigkeit,von,Bene,,GPL,,3,,0,1,,0,1,0,0,0,0,2,7,,Wackel Backel,"6,99","6,99001",,,,,,,1,,Traunfugil,von,Minetube,,GPL,,,,,,,,,,,,0,,Throes Mad
,59,,Zapdos,von,Dauni,,GPL,,1,1,2,,0,0,0,1,1,,1,0,7,,Pfundskerle,"6,99","6,99001",,,,,,,1,,Katapuldra,von,Nestfloh,,GPL,,,,,,,,,,,,0,,Böller Brüder
,59,,Galar-Laschoking,von,Pokgalaxy,,GPL,3,1,1,0,1,,0,0,1,0,0,,,7,,Tails of Mystery,"6,99","6,99001",,,,,,,1,,Lumiflora,von,Nestfloh,,GPL,,,,,,,,,,,,0,,Böller Brüder
,69,,Ursaring,von,Nestfloh,,GPL,5,,0,,,,,,,,,1,,6,,Böller Brüder,"5,997","5,99704",,,,,,,1,,Impoleon,von,Nestfloh,,GPL,,,,,,,,,,,,0,,Böller Brüder
,69,,Donphan,von,Blocki,,GPL,,,1,,,4,,,0,1,,,,6,,Kastanienbomber,"5,996","5,99604",,,,,,,1,,Pamomamo,von,Nestfloh,,GPL,,,,,,,,,,,,0,,Böller Brüder
,69,,Crimanzo,von,Dauni,,GPL,,,1,,,0,1,,,,0,4,,6,,Pfundskerle,"5,995","5,99503",,,,,,,1,,Cresselia,von,Nestfloh,,GPL,,,,,,,,,,,,0,,Böller Brüder
,69,,Porygon-Z,von,King Blex,,GPL,4,,,0,,1,,,1,0,,,,6,,Cyber End Jugulis,"5,995","5,99503",,,,,,,1,,Lavados,von,Nestfloh,,GPL,,,,,,,,,,,,0,,Böller Brüder
,69,,Vesprit,von,Dauni,,GPL,0,,3,,1,,,1,,,1,0,,6,,Pfundskerle,"5,994","5,99404",,,,,,,1,,Irokex,von,Nestfloh,,GPL,,,,,,,,,,,,0,,Böller Brüder
,69,,Voltolos-Therian,von,Domji,,GPL,0,1,,3,,0,,1,0,1,,,0,6,,Shining Legends,"5,992","5,99202",,,,,,,1,,Guardevoir,von,Nestfloh,,GPL,,,,,,,,,,,,0,,Böller Brüder
,69,,Eisenfalter,von,OGDeniz96,,GPL,0,0,1,,1,,1,,1,,1,,1,6,,Squid Squad,"5,992","5,99201",,,,,,,1,,Pampross,von,Nestfloh,,GPL,,,,,,,,,,,,0,,Böller Brüder
,69,,Jirachi,von,Sirazoa,,GPL,,,1,3,1,,,0,0,0,0,1,0,6,,Eon Engine,"5,991","5,99101",,,,,,,1,,Ursaring,von,Nestfloh,,GPL,,,,,,,,,,,,0,,Böller Brüder
,69,,Stalobor,von,Minetube,,GPL,,0,0,,2,1,2,1,0,0,0,,0,6,,Throes Mad,"5,99","5,99002",,,,,,,1,,Arktilas,von,Nestfloh,,GPL,,,,,,,,,,,,0,,Böller Brüder
,78,,Chillabell,von,OGDeniz96,,GPL,,0,,,,,,4,,,,1,,5,,Squid Squad,"4,997","4,99704",,,,,,,1,,Eisenkrieger,von,OGDeniz96,,GPL,,,,,,,,,,,,0,,Squid Squad
,78,,Registeel,von,RobinVGC,,GPL,4,,,,,,0,,1,,0,,,5,,Choice Bandits,"4,996","4,99603",,,,,,,1,,Eisenfalter,von,OGDeniz96,,GPL,,,,,,,,,,,,0,,Squid Squad
,78,,Cupidos-Therian,von,Raizor,,GPL,0,1,0,4,,,,,,,0,,,5,,Unbound Soul,"4,995","4,99503",,,,,,,1,,Laschoking,von,OGDeniz96,,GPL,,,,,,,,,,,,0,,Squid Squad
,78,,Fruyal,von,King Blex,,GPL,,0,,,,,,0,2,0,0,3,,5,,Cyber End Jugulis,"4,994","4,99404",,,,,,,1,,Metagross,von,OGDeniz96,,GPL,,,,,,,,,,,,0,,Squid Squad
,78,,Mimigma,von,King Blex,,GPL,2,0,1,,1,,,0,,1,,,,5,,Cyber End Jugulis,"4,994","4,99403",,,,,,,1,,Hisui-Admurai,von,OGDeniz96,,GPL,,,,,,,,,,,,0,,Squid Squad
,78,,Hisui-Admurai,von,OGDeniz96,,GPL,0,,,,,1,1,,,,0,3,0,5,,Squid Squad,"4,994","4,99402",,,,,,,1,,Grypheldis,von,OGDeniz96,,GPL,,,,,,,,,,,,0,,Squid Squad
,78,,Alola-Snobilikat,von,Raizor,,GPL,,,,0,1,0,,2,1,1,,0,,5,,Unbound Soul,"4,993","4,99304",,,,,,,1,,Sandfell,von,OGDeniz96,,GPL,,,,,,,,,,,,0,,Squid Squad
,78,,Diancie,von,Blocki,,GPL,0,0,,,,2,,0,,0,,3,0,5,,Kastanienbomber,"4,993","4,99303",,,,,,,1,,Polaross,von,OGDeniz96,,GPL,,,,,,,,,,,,0,,Squid Squad
,78,,Bailonda,von,Bene,,GPL,1,,0,,0,,0,,2,1,,,1,5,,Wackel Backel,"4,993","4,99302",,,,,,,1,,Piepi,von,OGDeniz96,,GPL,,,,,,,,,,,,0,,Squid Squad
,78,,Cresselia,von,Nestfloh,,GPL,0,1,,,2,0,,,,0,2,0,,5,,Böller Brüder,"4,993","4,99302",,,,,,,1,,Chillabell,von,OGDeniz96,,GPL,,,,,,,,,,,,0,,Squid Squad
,78,,Calamanero,von,Blocki,,GPL,,,,,,0,1,0,0,1,1,1,1,5,,Kastanienbomber,"4,992","4,99205",,,,,,,1,,Trombork,von,OGDeniz96,,GPL,,,,,,,,,,,,0,,Squid Squad
,78,,Kapoera,von,Domji,,GPL,,,,2,0,1,0,,0,1,1,0,,5,,Shining Legends,"4,992","4,99204",,,,,,,1,,Knakrack,von,Pokgalaxy,,GPL,,,,,,,,,,,,0,,Tails of Mystery
,78,,Rotom-Heat,von,Pokgalaxy,,GPL,0,0,0,0,,1,1,0,,,,,3,5,,Tails of Mystery,"4,992","4,99203",,,,,,,1,,Galar-Laschoking,von,Pokgalaxy,,GPL,,,,,,,,,,,,0,,Tails of Mystery
,78,,Beatori,von,Present,,GPL,,2,,0,1,0,0,0,2,,0,,,5,,Prekani,"4,992","4,99203",,,,,,,1,,Krarmor,von,Pokgalaxy,,GPL,,,,,,,,,,,,0,,Tails of Mystery
,78,,Laschoking,von,OGDeniz96,,GPL,,,0,0,1,0,0,,0,,0,4,,5,,Squid Squad,"4,992","4,99202",,,,,,,1,,Keldeo,von,Pokgalaxy,,GPL,,,,,,,,,,,,0,,Tails of Mystery
,78,,Regieleki,von,Snomnie,,GPL,1,,,1,0,0,,0,,0,2,1,,5,,Corvi Crushers,"4,992","4,99202",,,,,,,1,,Snibunna,von,Pokgalaxy,,GPL,,,,,,,,,,,,0,,Tails of Mystery
,78,,Cupidos,von,RobinVGC,,GPL,,,0,0,1,,0,0,1,,1,,2,5,,Choice Bandits,"4,992","4,99201",,,,,,,1,,Feelinara,von,Pokgalaxy,,GPL,,,,,,,,,,,,0,,Tails of Mystery
,78,,Panferno,von,Blocki,,GPL,0,,1,3,0,0,1,,0,0,0,0,0,5,,Kastanienbomber,"4,989","4,98902",,,,,,,1,,Relaxo,von,Pokgalaxy,,GPL,,,,,,,,,,,,0,,Tails of Mystery
,78,,Krarmor,von,Pokgalaxy,,GPL,0,0,0,0,0,2,0,0,0,2,0,1,0,5,,Tails of Mystery,"4,987","4,98702",,,,,,,1,,Rotom-Heat,von,Pokgalaxy,,GPL,,,,,,,,,,,,0,,Tails of Mystery
,97,,Pampross,von,Nestfloh,,GPL,,0,,,,2,0,,,2,,,,4,,Böller Brüder,"3,996","3,99604",,,,,,,1,,Horrerba,von,Pokgalaxy,,GPL,,,,,,,,,,,,0,,Tails of Mystery
,97,,Curelei,von,Minetube,,GPL,,3,1,,,,,,0,,,0,,4,,Throes Mad,"3,996","3,99603",,,,,,,1,,Wampitz,von,Pokgalaxy,,GPL,,,,,,,,,,,,0,,Tails of Mystery
,97,,Entei,von,Raizor,,GPL,,,,,3,,0,1,,0,,,0,4,,Unbound Soul,"3,995","3,99502",,,,,,,1,,Rameidon,von,Pokgalaxy,,GPL,,,,,,,,,,,,0,,Tails of Mystery
,97,,Zytomega,von,Present,,GPL,0,0,,0,,,,,,1,,0,3,4,,Prekani,"3,994","3,99402",,,,,,,1,,Demeteros-Therian,von,Present,,GPL,,,,,,,,,,,,0,,Prekani
,97,,Dragoran,von,Present,,GPL,0,,0,,1,2,,,,,,1,0,4,,Prekani,"3,994","3,99401",,,,,,,1,,Dragoran,von,Present,,GPL,,,,,,,,,,,,0,,Prekani
,97,,UHaFnir,von,Bene,,GPL,0,,,0,,0,,0,1,,1,2,,4,,Wackel Backel,"3,993","3,99303",,,,,,,1,,Arkani,von,Present,,GPL,,,,,,,,,,,,0,,Prekani
,97,,Raikou,von,RobinVGC,,GPL,,0,,,0,2,1,0,0,,1,0,,4,,Choice Bandits,"3,992","3,99202",,,,,,,1,,Rotom-Wash,von,Present,,GPL,,,,,,,,,,,,0,,Prekani
,104,,Trombork,von,OGDeniz96,,GPL,,,,,,,,0,,3,,,,3,,Squid Squad,"2,998","2,99805",,,,,,,1,,Zytomega,von,Present,,GPL,,,,,,,,,,,,0,,Prekani
,104,,Golgantes,von,Snomnie,,GPL,,2,,,1,,0,,,,,,,3,,Corvi Crushers,"2,997","2,99705",,,,,,,1,,Beatori,von,Present,,GPL,,,,,,,,,,,,0,,Prekani
,104,,Galar-Lahmus,von,Blocki,,GPL,,,,,0,,,0,,,,3,,3,,Kastanienbomber,"2,997","2,99703",,,,,,,1,,Kobalium,von,Present,,GPL,,,,,,,,,,,,0,,Prekani
,104,,Axantor,von,Blocki,,GPL,0,0,,3,,,,,,,0,,,3,,Kastanienbomber,"2,996","2,99603",,,,,,,1,,Mopex,von,Present,,GPL,,,,,,,,,,,,0,,Prekani
,104,,Illumise,von,RobinVGC,,GPL,1,0,,0,,0,,,,2,,,,3,,Choice Bandits,"2,995","2,99504",,,,,,,1,,Rizeros,von,Present,,GPL,,,,,,,,,,,,0,,Prekani
,104,,Mopex,von,Present,,GPL,,0,0,,1,,1,,,,1,,,3,,Prekani,"2,995","2,99503",,,,,,,1,,Tengulist,von,Present,,GPL,,,,,,,,,,,,0,,Prekani
,104,,Psiana,von,Domji,,GPL,,0,1,,,,0,0,,,1,,1,3,,Shining Legends,"2,994","2,99405",,,,,,,1,,Mottineva,von,Present,,GPL,,,,,,,,,,,,0,,Prekani
,104,,Grypheldis,von,OGDeniz96,,GPL,1,1,1,,0,,0,,0,,,,,3,,Squid Squad,"2,994","2,99403",,,,,,,1,,Snieboss,von,Raizor,,GPL,,,,,,,,,,,,0,,Unbound Soul
,104,,Britzigel,von,King Blex,,GPL,,0,0,,0,,0,0,,,,3,0,3,,Cyber End Jugulis,"2,993","2,99305",,,,,,,1,,Ursaluna,von,Raizor,,GPL,,,,,,,,,,,,0,,Unbound Soul
,104,,Guardevoir,von,Nestfloh,,GPL,,1,0,0,,,,,2,0,,0,0,3,,Böller Brüder,"2,993","2,99303",,,,,,,1,,Servol-w,von,Raizor,,GPL,,,,,,,,,,,,0,,Unbound Soul
,104,,Skorgla,von,Sirazoa,,GPL,0,0,0,,1,0,,,0,,0,2,0,3,,Eon Engine,"2,991","2,99104",,,,,,,1,,Entei,von,Raizor,,GPL,,,,,,,,,,,,0,,Unbound Soul
,104,,Suicune,von,Blocki,,GPL,1,0,1,0,0,,0,,0,,0,0,1,3,,Kastanienbomber,"2,99","2,99002",,,,,,,1,,Eisenhaupt,von,Raizor,,GPL,,,,,,,,,,,,0,,Unbound Soul
,104,,Pixi,von,Domji,,GPL,0,,0,1,,0,0,1,1,0,,0,0,3,,Shining Legends,"2,99","2,99002",,,,,,,1,,Turtok,von,Raizor,,GPL,,,,,,,,,,,,0,,Unbound Soul
,117,,Mottineva,von,Present,,GPL,,,,,,,2,,,,,,0,2,,Prekani,"1,998","1,99805",,,,,,,1,,Cupidos-Therian,von,Raizor,,GPL,,,,,,,,,,,,0,,Unbound Soul
,117,,Nockchan,von,Snomnie,,GPL,,,,1,,0,,1,,,,,,2,,Corvi Crushers,"1,997","1,99705",,,,,,,1,,Voltrean,von,Raizor,,GPL,,,,,,,,,,,,0,,Unbound Soul
,117,,Aggrostella,von,RobinVGC,,GPL,,,,,1,,1,,,0,,,,2,,Choice Bandits,"1,997","1,99703",,,,,,,1,,Silvarro,von,Raizor,,GPL,,,,,,,,,,,,0,,Unbound Soul
,117,,Traunfugil,von,Minetube,,GPL,0,,,1,0,,,,,,,1,,2,,Throes Mad,"1,996","1,99605",,,,,,,1,,Alola-Snobilikat,von,Raizor,,GPL,,,,,,,,,,,,0,,Unbound Soul
,117,,Turtok,von,Raizor,,GPL,,0,,0,,,,,1,,1,,,2,,Unbound Soul,"1,996","1,99603",,,,,,,1,,Hisui-Arktilas,von,Raizor,,GPL,,,,,,,,,,,,0,,Unbound Soul
,117,,Riffex,von,Sirazoa,,GPL,,,,,1,,0,,1,,0,,,2,,Eon Engine,"1,996","1,99603",,,,,,,1,,Latios,von,RobinVGC,,GPL,,,,,,,,,,,,0,,Choice Bandits
,117,,Irokex,von,Nestfloh,,GPL,,0,,,,0,,1,,0,,,1,2,,Böller Brüder,"1,995","1,99503",,,,,,,1,,Cupidos,von,RobinVGC,,GPL,,,,,,,,,,,,0,,Choice Bandits
,117,,Silvarro,von,Raizor,,GPL,,0,0,,2,,0,,,0,0,0,,2,,Unbound Soul,"1,993","1,99304",,,,,,,1,,Fatalitcha,von,RobinVGC,,GPL,,,,,,,,,,,,0,,Choice Bandits
,117,,Brutalanda,von,Sirazoa,,GPL,,1,0,,,,1,0,0,0,,0,,2,,Eon Engine,"1,993","1,99302",,,,,,,1,,Wie-Shu,von,RobinVGC,,GPL,,,,,,,,,,,,0,,Choice Bandits
,117,,Schlurm,von,Snomnie,,GPL,,,0,,0,1,0,1,0,,0,,0,2,,Corvi Crushers,"1,992","1,99203",,,,,,,1,,Raikou,von,RobinVGC,,GPL,,,,,,,,,,,,0,,Choice Bandits
,117,,Pamomamo,von,Nestfloh,,GPL,0,,,0,0,,1,1,0,0,0,0,0,2,,Böller Brüder,"1,99","1,99002",,,,,,,1,,Rabigator,von,RobinVGC,,GPL,,,,,,,,,,,,0,,Choice Bandits
,128,,Affiti,von,Minetube,,GPL,,,,0,,,,,,,,1,,1,,Throes Mad,"0,998","0,99804",,,,,,,1,,Aggrostella,von,RobinVGC,,GPL,,,,,,,,,,,,0,,Choice Bandits
,128,,Relaxo,von,Pokgalaxy,,GPL,,1,,,,,,,,,,,0,1,,Tails of Mystery,"0,998","0,99803",,,,,,,1,,Registeel,von,RobinVGC,,GPL,,,,,,,,,,,,0,,Choice Bandits
,128,,Tenterra,von,Dauni,,GPL,,,,0,0,,,,,,,,1,1,,Pfundskerle,"0,997","0,99704",,,,,,,1,,Montecarbo,von,RobinVGC,,GPL,,,,,,,,,,,,0,,Choice Bandits
,128,,Ambidiffel,von,Dauni,,GPL,,0,,,,0,,1,,0,,,,1,,Pfundskerle,"0,996","0,99605",,,,,,,1,,Illumise,von,RobinVGC,,GPL,,,,,,,,,,,,0,,Choice Bandits
,128,,Chimstix,von,Sirazoa,,GPL,,0,,0,1,,,0,,,,,,1,,Eon Engine,"0,996","0,99604",,,,,,,1,,Kronjuwild,von,RobinVGC,,GPL,,,,,,,,,,,,0,,Choice Bandits
,128,,Bronzong,von,Bene,,GPL,,,,,0,,,0,,1,,0,,1,,Wackel Backel,"0,996","0,99603",,,,,,,1,,Riesenzahn,von,Sirazoa,,GPL,,,,,,,,,,,,0,,Eon Engine
,128,,Myriador,von,Dauni,,GPL,0,,,1,,,,,0,0,,,,1,,Pfundskerle,"0,996","0,99603",,,,,,,1,,Jirachi,von,Sirazoa,,GPL,,,,,,,,,,,,0,,Eon Engine
,128,,Garados,von,Domji,,GPL,,,1,,0,,,,,,,0,0,1,,Shining Legends,"0,996","0,99603",,,,,,,1,,Alola-Vulnona,von,Sirazoa,,GPL,,,,,,,,,,,,0,,Eon Engine
,128,,Voltrean,von,Raizor,,GPL,0,,1,,,0,,,,,,,0,1,,Unbound Soul,"0,996","0,99603",,,,,,,1,,Brutalanda,von,Sirazoa,,GPL,,,,,,,,,,,,0,,Eon Engine
,128,,Meloetta,von,Snomnie,,GPL,,0,,,,,,,,0,,1,0,1,,Corvi Crushers,"0,996","0,99603",,,,,,,1,,Volcanion,von,Sirazoa,,GPL,,,,,,,,,,,,0,,Eon Engine
,128,,Gastrodon,von,Bene,,GPL,,,,,,0,1,0,0,,,,0,1,,Wackel Backel,"0,995","0,99504",,,,,,,1,,Aquana,von,Sirazoa,,GPL,,,,,,,,,,,,0,,Eon Engine
