,,,,,,"Hier wird aufgezeigt, wie viele Kills ein Pokémon an einem gewissen Spieltag gemacht hat"

Rang,Pokémon,Icon,Kämpfe,Kills,Kills pro Kampf,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Team,,YouTube
23,UHaFniR,,9,8,"0,89",0,2,,1,1,,,0,2,1,0,,,1,,Victini Bottom,https://www.youtube.com/user/FullLifeGames,"8,000888889"
70,Caesurio,,4,2,"0,50",,,1,0,,1,,,,,,,0,,,Victini Bottom,https://www.youtube.com/user/FullLifeGames,"2,0005"
50,Bronzong,,7,4,"0,57",,2,0,,0,,0,,,0,,1,,1,,Victini Bottom,https://www.youtube.com/user/FullLifeGames,"4,000571429"
45,Tauros,,3,4,"1,33",1,,,,,1,,,,,,,,2,,Victini Bottom,https://www.youtube.com/user/FullLifeGames,"4,001333333"
98,Piepi,,3,0,"0,00",,,,,,,,,,0,0,0,,,,Victini Bottom,https://www.youtube.com/user/FullLifeGames,0
81,Flunkifer,,2,1,"0,50",,,,,,,,1,,,,,0,,,Victini Bottom,https://www.youtube.com/user/FullLifeGames,"1,0005"
35,Pixi,,7,6,"0,86",2,0,0,2,1,1,0,,,,,,,,,Victini Bottom,https://www.youtube.com/user/FullLifeGames,"6,000857143"
98,Rotom-Schneide,,0,0,,,,,,,,,,,,,,,,,Victini Bottom,https://www.youtube.com/user/FullLifeGames,0
98,Kapoera,,0,0,,,,,,,,,,,,,,,,,Victini Bottom,https://www.youtube.com/user/FullLifeGames,0
20,Deponitox,,4,8,"2,00",2,,,,2,3,1,,,,,,,,,Victini Bottom,https://www.youtube.com/user/FullLifeGames,"8,002"
17,Gortrom,,9,9,"1,00",3,0,,1,3,,0,0,2,,,0,,0,,Prekani,https://www.youtube.com/user/Present,"9,001"
23,Boreos-T,,9,8,"0,89",2,1,1,,,0,0,0,,2,,,0,2,,Prekani,https://www.youtube.com/user/Present,"8,000888889"
18,Primarene,,13,9,"0,69",1,0,1,0,0,1,1,3,,1,1,0,0,0,,Prekani,https://www.youtube.com/user/Present,"9,000692308"
21,Meistergrif,,6,8,"1,33",,,,,,,,,2,0,2,1,2,1,,Prekani,https://www.youtube.com/user/Present,"8,001333333"
