,,,,,,"Hier wird aufgezeigt, wie viele Kills ein Pokémon an einem gewissen Spieltag gemacht hat"

Rang,Pokémon,Icon,Kämpfe,Kills,Kills pro Kampf,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Team,,YouTube
21,Iksbat,,9,7,"0,78",0,0,2,0,,,,,0,1,,1,0,3,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel
21,Piondragi,,9,7,"0,78",1,2,0,,,0,,0,1,1,1,,,1,,Issotop,https://www.youtube.com/user/Pokgalaxy
23,Snibunna,,14,7,"0,50",0,1,0,0,1,0,1,3,0,0,0,0,1,0,,End Level Hydreigon,https://www.youtube.com/user/KingBlex
24,Polaross,,3,6,"2,00",,,,,,,,,,3,1,,2,,,Soulstealer,https://www.youtube.com/user/Raizor
25,Alola-Raichu,,4,6,"1,50",,,,,,,,1,,2,,3,,0,,Soulstealer,https://www.youtube.com/user/Raizor
25,Boreos-I,,4,6,"1,50",,,,,,,,1,1,3,1,,,,,End Level Hydreigon,https://www.youtube.com/user/KingBlex
25,Grandiras,,4,6,"1,50",0,0,,,4,,2,,,,,,,,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel
28,Aranestro,,5,6,"1,20",,,,,,,,2,,1,1,1,,1,,Issotop,https://www.youtube.com/user/Pokgalaxy
29,Cerapendra,,6,6,"1,00",,2,,,2,,,,1,0,1,,,0,,Chasing Cinderaces,https://www.youtube.com/user/OGDNZ
29,Stalobor,,6,6,"1,00",,,,,,,,0,,0,2,3,0,1,,End Level Hydreigon,https://www.youtube.com/user/KingBlex
31,Riffex-Hoch,,8,6,"0,75",,,1,2,0,1,,2,0,,0,0,,,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel
32,Cresselia,,10,6,"0,60",,0,0,,1,0,2,1,,0,,0,2,0,,Issotop,https://www.youtube.com/user/Pokgalaxy
33,Jirachi,,13,6,"0,46",0,0,1,1,0,2,1,0,,0,0,0,1,0,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel
34,Porygon-Z,,4,5,"1,25",,1,,0,,,,,,2,,,,2,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink
35,Golgantes,,5,5,"1,00",,,,,,,,,1,,0,2,0,2,,Soulstealer,https://www.youtube.com/user/Raizor
36,Azumarill,,6,5,"0,83",0,2,,1,1,0,1,,,,,,,,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel
36,Donarion,,6,5,"0,83",,,1,1,0,1,1,,,,1,,,,,End Level Hydreigon,https://www.youtube.com/user/KingBlex
36,Victini,,6,5,"0,83",,,,,,,,3,1,0,,0,1,0,,Chasing Cinderaces,https://www.youtube.com/user/OGDNZ
39,Alola-Snobilikat,,7,5,"0,71",0,,,,0,0,,0,,1,3,1,,,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel
40,Zoroark,,9,5,"0,56",,,1,2,0,0,0,,1,0,,,1,0,,Soulstealer,https://www.youtube.com/user/Raizor
41,Laschoking,,13,5,"0,38",0,0,1,0,0,1,0,2,0,1,,0,0,0,,End Level Hydreigon,https://www.youtube.com/user/KingBlex
42,Frosdedje,,2,4,"2,00",,,,3,,1,,,,,,,,,,Kastanienbomber,https://www.youtube.com/user/Blocki
43,Dragoran,,3,4,"1,33",,,0,2,,,2,,,,,,,,,Issotop,https://www.youtube.com/user/Pokgalaxy
43,Kangama,,3,4,"1,33",,,,,,,,2,0,,2,,,,,Chasing Cinderaces,https://www.youtube.com/user/OGDNZ
43,Wolwerock-Tagform,,3,4,"1,33",,,,,,,,,,,1,1,2,,,Kastanienbomber,https://www.youtube.com/user/Blocki
46,Durengard,,4,4,"1,00",1,1,0,2,,,,,,,,,,,,End Level Hydreigon,https://www.youtube.com/user/KingBlex
46,Gengar,,4,4,"1,00",,,,,,,,1,2,1,,,0,,,Kastanienbomber,https://www.youtube.com/user/Blocki
48,Voltolos-T,,5,4,"0,80",,,,,,,,1,0,1,0,,2,,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink
49,Alola-Knogga,,6,4,"0,67",0,2,,1,,1,0,,0,,,,,,,Soulstealer,https://www.youtube.com/user/Raizor
49,Feelinara,,6,4,"0,67",1,0,0,,1,0,2,,,,,,,,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink
51,Boreos-T,,11,4,"0,36",0,0,0,0,0,0,0,1,2,,1,,,0,,Kastanienbomber,https://www.youtube.com/user/Blocki
51,Fuegro,,11,4,"0,36",,1,1,,0,0,0,0,0,1,0,0,1,,,Kastanienbomber,https://www.youtube.com/user/Blocki
53,Kapu-Riki,,12,4,"0,33",0,0,1,0,,0,2,0,,0,1,0,0,0,,Soulstealer,https://www.youtube.com/user/Raizor
53,Pixi,,12,4,"0,33",0,0,0,1,1,0,0,,0,,0,0,1,1,,Issotop,https://www.youtube.com/user/Pokgalaxy
55,Demeteros-T,,13,4,"0,31",0,1,0,0,1,,1,0,0,0,1,0,0,0,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel
55,Milotic,,13,4,"0,31",0,1,0,0,0,,0,1,1,0,0,0,1,0,,Chasing Cinderaces,https://www.youtube.com/user/OGDNZ
57,Celebi,,2,3,"1,50",,,,,,,,,3,,,0,,,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink
58,Sniebel,,3,3,"1,00",,,0,,,2,,,,,,,1,,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed
58,Viscogon,,3,3,"1,00",0,0,,3,,,,,,,,,,,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed
60,Aerodactyl,,4,3,"0,75",,,0,,2,,,,,0,,1,,,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink
60,Gorgasonn,,4,3,"0,75",,,1,,,0,1,,,,,,,1,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel
60,Raikou,,4,3,"0,75",,,,,,,,1,0,0,2,,,,,Issotop,https://www.youtube.com/user/Pokgalaxy
63,Panzaeron,,5,3,"0,60",1,,0,,2,0,0,,,,,,,,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed
63,Tentoxa,,5,3,"0,60",,,,,,,,1,0,,2,0,0,,,Soulstealer,https://www.youtube.com/user/Raizor
65,Pampross,,7,3,"0,43",0,,,0,,,0,,0,,0,,2,1,,Issotop,https://www.youtube.com/user/Pokgalaxy
65,Rabigator,,7,3,"0,43",,,3,,0,0,0,,,,0,0,,0,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink
67,Moruda,,2,2,"1,00",,,,,,,,,,,,,1,1,,Kastanienbomber,https://www.youtube.com/user/Blocki
67,Piepi,,2,2,"1,00",,,2,,0,,,,,,,,,,,End Level Hydreigon,https://www.youtube.com/user/KingBlex
67,Washakwil,,2,2,"1,00",0,,,2,,,,,,,,,,,,End Level Hydreigon,https://www.youtube.com/user/KingBlex
70,Amfira,,3,2,"0,67",,,,,,,,,,,0,1,1,,,Issotop,https://www.youtube.com/user/Pokgalaxy
70,Pandagro,,3,2,"0,67",,,,,,1,,,,1,,,0,,,Chasing Cinderaces,https://www.youtube.com/user/OGDNZ
72,Alola-Kokowei,,4,2,"0,50",1,0,,0,,,,1,,,,,,,,Soulstealer,https://www.youtube.com/user/Raizor
72,Libelldra,,4,2,"0,50",1,0,,1,,,0,,,,,,,,,End Level Hydreigon,https://www.youtube.com/user/KingBlex
72,Rihornior,,4,2,"0,50",1,0,0,,1,,,,,,,,,,,Soulstealer,https://www.youtube.com/user/Raizor
72,Typ:Null,,4,2,"0,50",,,,,,,,0,0,2,,,0,,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel
72,Vesprit,,4,2,"0,50",0,0,2,,,,0,,,,,,,,,Chasing Cinderaces,https://www.youtube.com/user/OGDNZ
77,Aquana,,5,2,"0,40",1,0,0,,1,0,,,,,,,,,,Issotop,https://www.youtube.com/user/Pokgalaxy
77,Fruyal,,5,2,"0,40",,,2,0,,0,,,,,0,0,,,,Chasing Cinderaces,https://www.youtube.com/user/OGDNZ
77,Hydragil,,5,2,"0,40",,,,,,,,,0,1,1,0,0,,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed
80,Brockoloss,,6,2,"0,33",,,,,,,,0,,0,1,1,0,0,,End Level Hydreigon,https://www.youtube.com/user/KingBlex
80,Scherox,,6,2,"0,33",,,,,,,,0,,0,2,0,0,0,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed
82,Nidoking,,8,2,"0,25",0,0,0,0,1,0,1,0,,,,,,,,Chasing Cinderaces,https://www.youtube.com/user/OGDNZ
83,Keifel,,13,2,"0,15",,0,1,1,0,0,0,0,0,0,0,0,0,0,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed
84,Mortipot,,1,1,"1,00",,1,,,,,,,,,,,,,,Issotop,https://www.youtube.com/user/Pokgalaxy
84,Wolwerock-Nacht,,1,1,"1,00",,1,,,,,,,,,,,,,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel
86,Apoquallyp,,2,1,"0,50",0,,,1,,,,,,,,,,,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink
86,Baldorfish,,2,1,"0,50",,,1,,0,,,,,,,,,,,Soulstealer,https://www.youtube.com/user/Raizor
86,Celebi,,2,1,"0,50",,,,1,,,0,,,,,,,,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel
86,Galar-Arktos,,2,1,"0,50",,,,,1,0,,,,,,,,,,Soulstealer,https://www.youtube.com/user/Raizor
86,Sabbaione,,2,1,"0,50",,,,,,,,0,,,,,1,,,Chasing Cinderaces,https://www.youtube.com/user/OGDNZ
86,Schnuthelm,,2,1,"0,50",,,1,,,0,,,,,,,,,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel
86,Schnuthelm,,2,1,"0,50",,,1,,,0,,,,,,,,,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel
86,Skaraborn,,2,1,"0,50",,,,,,,,,,0,,1,,,,Kastanienbomber,https://www.youtube.com/user/Blocki
94,Arktilas,,3,1,"0,33",,0,,,,,,,1,,,,0,,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink
94,Galar-Smogmog,,3,1,"0,33",,,,,,,,1,,,,0,,0,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed
94,Lahmus,,3,1,"0,33",1,0,,0,,,,,,,,,,,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed
94,Lanturn,,3,1,"0,33",,,,,,,,0,,,0,,1,,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink
94,Masskito,,3,1,"0,33",0,0,,,1,,,,,,,,,,,Kastanienbomber,https://www.youtube.com/user/Blocki
99,Amigento-Fee,,4,1,"0,25",,,,,,,,0,,,,0,1,0,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink
100,Guardevoir,,5,1,"0,20",0,,,0,1,,0,,,,,0,,,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed
100,UHaFnir,,5,1,"0,20",,,,,,,,,0,0,,1,0,0,,Issotop,https://www.youtube.com/user/Pokgalaxy
102,Porygon2,,12,1,"0,08",0,0,0,0,,0,0,1,0,0,0,0,0,,,Soulstealer,https://www.youtube.com/user/Raizor
103,Amigento-Boden,,0,0,,,,,,,,,,,,,,,,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed
103,Bronzong,,2,0,"0,00",,,,,,,,,,,,0,,0,,Chasing Cinderaces,https://www.youtube.com/user/OGDNZ
103,Castellith,,1,0,"0,00",,0,,,,,,,,,,,,,,Kastanienbomber,https://www.youtube.com/user/Blocki
103,Deponitox,,0,0,,,,,,,,,,,,,,,,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink
103,Flunschlik,,4,0,"0,00",,,,,,0,0,,0,,,,,0,,End Level Hydreigon,https://www.youtube.com/user/KingBlex
103,Gelatwino,,1,0,"0,00",,,,,,,,,,,,,0,,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel
103,Kapu-Kime,,3,0,"0,00",,0,,,0,,0,,,,,,,,,Soulstealer,https://www.youtube.com/user/Raizor
103,Krarmor,,4,0,"0,00",0,,,0,0,,0,,,,,,,,,Chasing Cinderaces,https://www.youtube.com/user/OGDNZ
103,Miltank,,4,0,"0,00",,,,0,0,,,0,0,,,,,,,Issotop,https://www.youtube.com/user/Pokgalaxy
103,Nockchan,,0,0,,,,,,,,,,,,,,,,,Issotop,https://www.youtube.com/user/Pokgalaxy
103,Ohrdoch,,1,0,"0,00",,,,,0,,,,,,,,,,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed
103,Parfinesse,,1,0,"0,00",,,,,,0,,,,,,,,,,Chasing Cinderaces,https://www.youtube.com/user/OGDNZ
103,Raichu,,2,0,"0,00",,0,,,,,,,,0,,,,,,Kastanienbomber,https://www.youtube.com/user/Blocki
103,Roserade,,4,0,"0,00",0,,0,0,,0,,,,,,,,,,Kastanienbomber,https://www.youtube.com/user/Blocki
103,Rotom-Hitze,,5,0,"0,00",0,,,0,0,0,0,,,,,,,,,Issotop,https://www.youtube.com/user/Pokgalaxy
103,Rotom-Schneide,,5,0,"0,00",0,,,0,0,0,0,,,,,,,,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink
103,Tangoloss,,4,0,"0,00",,,,,,,,0,0,0,0,,,,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed
103,, ,0,0,,,,,,,,,,,,,,,,,Chasing Cinderaces,https://www.youtube.com/user/OGDNZ
103,, ,0,0,,,,,,,,,,,,,,,,,End Level Hydreigon,https://www.youtube.com/user/KingBlex

,,,,,,,,,,,,,,,,,,,,,,0
20,Heatran,,14,8,"0,57",0,1,1,2,1,1,1,0,0,0,0,0,0,1,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink,"8,000571429"
8,Wulaosu-Fließend,,12,12,"1,00",0,0,0,1,,1,2,3,1,1,0,,2,1,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink,"12,001"
3,Latias,,13,17,"1,31",3,0,2,2,2,0,0,0,1,2,0,3,,2,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink,"17,00130769"
48,Voltolos-T,,5,4,"0,80",,,,,,,,1,0,1,0,,2,,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink,"4,0008"
65,Rabigator,,7,3,"0,43",,,3,,0,0,0,,,,0,0,,0,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink,"3,000428571"
57,Celebi,,2,3,"1,50",,,,,,,,,3,,,0,,,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink,"3,0015"
34,Porygon-Z,,4,5,"1,25",,1,,0,,,,,,2,,,,2,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink,"5,00125"
60,Aerodactyl,,4,3,"0,75",,,0,,2,,,,,0,,1,,,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink,"3,00075"
94,Lanturn,,3,1,"0,33",,,,,,,,0,,,0,,1,,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink,"1,000333333"
99,Amigento-Fee,,4,1,"0,25",,,,,,,,0,,,,0,1,0,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink,"1,00025"
94,Arktilas,,3,1,"0,33",,0,,,,,,,1,,,,0,,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink,"1,000333333"
49,Feelinara,,6,4,"0,67",1,0,0,,1,0,2,,,,,,,,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink,"4,000666667"
103,Rotom-Schneide,,5,0,"0,00",0,,,0,0,0,0,,,,,,,,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink,0
86,Apoquallyp,,2,1,"0,50",0,,,1,,,,,,,,,,,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink,"1,0005"
103,Deponitox,,0,0,,,,,,,,,,,,,,,,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink,0
53,Kapu-Riki,,12,4,"0,33",0,0,1,0,,0,2,0,,0,1,0,0,0,,Soulstealer,https://www.youtube.com/user/Raizor,"4,000333333"
6,Kaguron,,10,13,"1,30",4,,3,,1,,1,2,0,1,0,1,,0,,Soulstealer,https://www.youtube.com/user/Raizor,"13,0013"
102,Porygon2,,12,1,"0,08",0,0,0,0,,0,0,1,0,0,0,0,0,,,Soulstealer,https://www.youtube.com/user/Raizor,"1,000083333"
24,Polaross,,3,6,"2,00",,,,,,,,,,3,1,,2,,,Soulstealer,https://www.youtube.com/user/Raizor,"6,002"
40,Zoroark,,9,5,"0,56",,,1,2,0,0,0,,1,0,,,1,0,,Soulstealer,https://www.youtube.com/user/Raizor,"5,000555556"
49,Alola-Knogga,,6,4,"0,67",0,2,,1,,1,0,,0,,,,,,,Soulstealer,https://www.youtube.com/user/Raizor,"4,000666667"
63,Tentoxa,,5,3,"0,60",,,,,,,,1,0,,2,0,0,,,Soulstealer,https://www.youtube.com/user/Raizor,"3,0006"
18,Kicklee,,3,8,"2,67",,,,3,,5,,,,,,,,0,,Soulstealer,https://www.youtube.com/user/Raizor,"8,002666667"
25,Alola-Raichu,,4,6,"1,50",,,,,,,,1,,2,,3,,0,,Soulstealer,https://www.youtube.com/user/Raizor,"6,0015"
35,Golgantes,,5,5,"1,00",,,,,,,,,1,,0,2,0,2,,Soulstealer,https://www.youtube.com/user/Raizor,"5,001"
72,Alola-Kokowei,,4,2,"0,50",1,0,,0,,,,1,,,,,,,,Soulstealer,https://www.youtube.com/user/Raizor,"2,0005"
103,Kapu-Kime,,3,0,"0,00",,0,,,0,,0,,,,,,,,,Soulstealer,https://www.youtube.com/user/Raizor,0
72,Rihornior,,4,2,"0,50",1,0,0,,1,,,,,,,,,,,Soulstealer,https://www.youtube.com/user/Raizor,"2,0005"
86,Galar-Arktos,,2,1,"0,50",,,,,1,0,,,,,,,,,,Soulstealer,https://www.youtube.com/user/Raizor,"1,0005"
86,Baldorfish,,2,1,"0,50",,,1,,0,,,,,,,,,,,Soulstealer,https://www.youtube.com/user/Raizor,"1,0005"
4,Galar-Zapdos,,13,15,"1,15",2,3,0,0,1,1,2,,1,1,1,2,1,0,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed,"15,00115385"
1,Katapuldra,,9,20,"2,22",2,2,1,,,1,3,3,1,,,,1,6,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed,"20,00222222"
103,Tangoloss,,4,0,"0,00",,,,,,,,0,0,0,0,,,,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed,0
80,Scherox,,6,2,"0,33",,,,,,,,0,,0,2,0,0,0,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed,"2,000333333"
100,Guardevoir,,5,1,"0,20",0,,,0,1,,0,,,,,0,,,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed,"1,0002"
11,Arkani,,11,11,"1,00",,0,1,0,2,2,1,1,3,0,1,,,0,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed,"11,001"
94,Galar-Smogmog,,3,1,"0,33",,,,,,,,1,,,,0,,0,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed,"1,000333333"
83,Keifel,,13,2,"0,15",,0,1,1,0,0,0,0,0,0,0,0,0,0,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed,"2,000153846"
58,Sniebel,,3,3,"1,00",,,0,,,2,,,,,,,1,,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed,"3,001"
77,Hydragil,,5,2,"0,40",,,,,,,,,0,1,1,0,0,,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed,"2,0004"
103,Ohrdoch,,1,0,"0,00",,,,,0,,,,,,,,,,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed,0
94,Lahmus,,3,1,"0,33",1,0,,0,,,,,,,,,,,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed,"1,000333333"
63,Panzaeron,,5,3,"0,60",1,,0,,2,0,0,,,,,,,,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed,"3,0006"
58,Viscogon,,3,3,"1,00",0,0,,3,,,,,,,,,,,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed,"3,001"
103,Amigento-Boden,,0,0,,,,,,,,,,,,,,,,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed,0
55,Demeteros-T,,13,4,"0,31",0,1,0,0,1,,1,0,0,0,1,0,0,0,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel,"4,000307692"
33,Jirachi,,13,6,"0,46",0,0,1,1,0,2,1,0,,0,0,0,1,0,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel,"6,000461538"
16,Volcanion,,4,9,"2,25",,,,,,,,,2,,2,,5,0,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel,"9,00225"
17,Maxax,,6,9,"1,50",,,,,,,,1,4,2,0,1,,1,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel,"9,0015"
21,Iksbat,,9,7,"0,78",0,0,2,0,,,,,0,1,,1,0,3,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel,"7,000777778"
72,Typ:Null,,4,2,"0,50",,,,,,,,0,0,2,,,0,,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel,"2,0005"
31,Riffex-Hoch,,8,6,"0,75",,,1,2,0,1,,2,0,,0,0,,,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel,"6,00075"
60,Gorgasonn,,4,3,"0,75",,,1,,,0,1,,,,,,,1,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel,"3,00075"
103,Gelatwino,,1,0,"0,00",,,,,,,,,,,,,0,,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel,0
86,Schnuthelm,,2,1,"0,50",,,1,,,0,,,,,,,,,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel,"1,0005"
39,Alola-Snobilikat,,7,5,"0,71",0,,,,0,0,,0,,1,3,1,,,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel,"5,000714286"
86,Schnuthelm,,2,1,"0,50",,,1,,,0,,,,,,,,,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel,"1,0005"
36,Azumarill,,6,5,"0,83",0,2,,1,1,0,1,,,,,,,,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel,"5,000833333"
25,Grandiras,,4,6,"1,50",0,0,,,4,,2,,,,,,,,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel,"6,0015"
86,Celebi,,2,1,"0,50",,,,1,,,0,,,,,,,,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel,"1,0005"
84,Wolwerock-Nacht,,1,1,"1,00",,1,,,,,,,,,,,,,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel,"1,001"
29,Stalobor,,6,6,"1,00",,,,,,,,0,,0,2,3,0,1,,End Level Hydreigon,https://www.youtube.com/user/KingBlex,"6,001"
23,Snibunna,,14,7,"0,50",0,1,0,0,1,0,1,3,0,0,0,0,1,0,,End Level Hydreigon,https://www.youtube.com/user/KingBlex,"7,0005"
41,Laschoking,,13,5,"0,38",0,0,1,0,0,1,0,2,0,1,,0,0,0,,End Level Hydreigon,https://www.youtube.com/user/KingBlex,"5,000384615"
9,Hutsassa,,9,11,"1,22",4,1,,,2,0,,,1,1,1,1,0,,,End Level Hydreigon,https://www.youtube.com/user/KingBlex,"11,00122222"
7,Wie-Shu,,6,12,"2,00",,,,,2,,4,0,1,,,1,4,,,End Level Hydreigon,https://www.youtube.com/user/KingBlex,"12,002"
25,Boreos-I,,4,6,"1,50",,,,,,,,1,1,3,1,,,,,End Level Hydreigon,https://www.youtube.com/user/KingBlex,"6,0015"
80,Brockoloss,,6,2,"0,33",,,,,,,,0,,0,1,1,0,0,,End Level Hydreigon,https://www.youtube.com/user/KingBlex,"2,000333333"
36,Donarion,,6,5,"0,83",,,1,1,0,1,1,,,,1,,,,,End Level Hydreigon,https://www.youtube.com/user/KingBlex,"5,000833333"
14,Tohaido,,4,10,"2,50",,3,2,,,0,,,,,,,,5,,End Level Hydreigon,https://www.youtube.com/user/KingBlex,"10,0025"
67,Piepi,,2,2,"1,00",,,2,,0,,,,,,,,,,,End Level Hydreigon,https://www.youtube.com/user/KingBlex,"2,001"
103,Flunschlik,,4,0,"0,00",,,,,,0,0,,0,,,,,0,,End Level Hydreigon,https://www.youtube.com/user/KingBlex,0
46,Durengard,,4,4,"1,00",1,1,0,2,,,,,,,,,,,,End Level Hydreigon,https://www.youtube.com/user/KingBlex,"4,001"
67,Washakwil,,2,2,"1,00",0,,,2,,,,,,,,,,,,End Level Hydreigon,https://www.youtube.com/user/KingBlex,"2,001"
72,Libelldra,,4,2,"0,50",1,0,,1,,,0,,,,,,,,,End Level Hydreigon,https://www.youtube.com/user/KingBlex,"2,0005"
103,, ,0,0,,,,,,,,,,,,,,,,,End Level Hydreigon,https://www.youtube.com/user/KingBlex,0
